sequence_hint,local_id,issue_type,summary,state,priority,blocked_by,blocks_count,maturity_after,note
134,POST-SUBTASK-048,Subtask,[POST-SUBTASK-048] Approve or block immutable matrix versions for feature/model experimentation,BLOCKED,P0,POST-SUBTASK-045;POST-SUBTASK-046;POST-SUBTASK-047,22,PRODUCTION_READY,Dependency criticality only; this is not a duration estimate.
135,POST-SUBTASK-049,Subtask,"[POST-SUBTASK-049] Run static, future-append, value-mutation, same-game, normalization, entity-correction, weather, market, roster, and label leakage tests on real matrices",BLOCKED,P0,POST-SUBTASK-048,2,IMPLEMENTED,Dependency criticality only; this is not a duration estimate.
136,POST-SUBTASK-050,Subtask,"[POST-SUBTASK-050] Implement deterministic walk-forward replay with frozen train/tune/protected boundaries, fold-local transforms, checkpoint/resume, and evidence identities",BLOCKED,P0,POST-SUBTASK-048;POST-SUBTASK-049,1,EMPIRICALLY_VALIDATED,Dependency criticality only; this is not a duration estimate.
137,POST-SUBTASK-051,Subtask,[POST-SUBTASK-051] Open or retain-blocked the protected experimentation lane through the PIT/replay readiness gate,BLOCKED,P0,POST-SUBTASK-048;POST-SUBTASK-049;POST-SUBTASK-050,13,PRODUCTION_READY,Dependency criticality only; this is not a duration estimate.
138,POST-SUBTASK-058,Subtask,[POST-SUBTASK-058] Run staged univariate/multivariate screening and bounded feature tournaments on permitted tuning history,BLOCKED,P1,POST-SUBTASK-057,2,IMPLEMENTED,Dependency criticality only; this is not a duration estimate.
139,POST-SUBTASK-059,Subtask,"[POST-SUBTASK-059] Run ablation, interaction, redundancy, missingness sensitivity, regime stability, A&M/peer, and market-lane analyses",BLOCKED,P1,POST-SUBTASK-057;POST-SUBTASK-058,1,EMPIRICALLY_VALIDATED,Dependency criticality only; this is not a duration estimate.
140,POST-SUBTASK-060,Subtask,[POST-SUBTASK-060] Publish the evidence-backed production feature lifecycle decision,BLOCKED,P1,POST-SUBTASK-057;POST-SUBTASK-058;POST-SUBTASK-059,5,PRODUCTION_READY,Dependency criticality only; this is not a duration estimate.
141,POST-SUBTASK-070,Subtask,"[POST-SUBTASK-070] Materialize official score, margin, win, distribution, market-lane, and BAS-support target tables with game lineage",BLOCKED,P1,POST-SUBTASK-051;POST-SUBTASK-060,2,IMPLEMENTED,Dependency criticality only; this is not a duration estimate.
142,POST-SUBTASK-071,Subtask,"[POST-SUBTASK-071] Materialize chronological train/tune/protected assignments, sample weights, cold-start rules, and feature/target separation",BLOCKED,P1,POST-SUBTASK-051;POST-SUBTASK-060;POST-SUBTASK-070,1,EMPIRICALLY_VALIDATED,Dependency criticality only; this is not a duration estimate.
143,POST-SUBTASK-072,Subtask,"[POST-SUBTASK-072] Approve model dataset identity, leakage isolation, duplicate handling, and reproducibility",BLOCKED,P1,POST-SUBTASK-051;POST-SUBTASK-060;POST-SUBTASK-070;POST-SUBTASK-071,4,PRODUCTION_READY,Dependency criticality only; this is not a duration estimate.
144,POST-SUBTASK-076,Subtask,[POST-SUBTASK-076] Train precommitted task/cutoff/lane calibration and ensemble candidates using permitted tuning predictions,BLOCKED,P1,POST-SUBTASK-075,2,IMPLEMENTED,Dependency criticality only; this is not a duration estimate.
145,POST-SUBTASK-077,Subtask,"[POST-SUBTASK-077] Implement sparse-history, missingness, source/regime shift, feature-pattern OOD, uncertainty, and abstention diagnostics",BLOCKED,P1,POST-SUBTASK-075;POST-SUBTASK-076,1,EMPIRICALLY_VALIDATED,Dependency criticality only; this is not a duration estimate.
146,POST-SUBTASK-078,Subtask,[POST-SUBTASK-078] Publish the immutable candidate artifact registry for sealed protected evaluation,BLOCKED,P1,POST-SUBTASK-075;POST-SUBTASK-076;POST-SUBTASK-077,15,PRODUCTION_READY,Dependency criticality only; this is not a duration estimate.
147,POST-SUBTASK-097,Subtask,"[POST-SUBTASK-097] Verify protected split, judging-rule, threshold, feature, model, A&M, BAS, peer, and candidate seal hashes",BLOCKED,P1,POST-SUBTASK-078;POST-SUBTASK-084;POST-SUBTASK-090,2,IMPLEMENTED,Dependency criticality only; this is not a duration estimate.
148,POST-SUBTASK-098,Subtask,"[POST-SUBTASK-098] Establish protected-outcome access isolation, audit logging, one-way evidence, and failure preservation",BLOCKED,P1,POST-SUBTASK-078;POST-SUBTASK-084;POST-SUBTASK-090;POST-SUBTASK-097,1,EMPIRICALLY_VALIDATED,Dependency criticality only; this is not a duration estimate.
149,POST-SUBTASK-099,Subtask,[POST-SUBTASK-099] Authorize or block the exact sealed protected evaluation run,BLOCKED,P1,POST-SUBTASK-078;POST-SUBTASK-084;POST-SUBTASK-090;POST-SUBTASK-097;POST-SUBTASK-098,4,PRODUCTION_READY,Dependency criticality only; this is not a duration estimate.
150,POST-SUBTASK-100,Subtask,"[POST-SUBTASK-100] Execute the sealed national, A&M-candidate, and BAS-support chronological replay once",BLOCKED,P1,POST-SUBTASK-099,2,IMPLEMENTED,Dependency criticality only; this is not a duration estimate.
151,POST-SUBTASK-101,Subtask,"[POST-SUBTASK-101] Compute complete score, margin, win, distribution, calibration, BAS, A&M, OOD, coherence, robustness, market-lane, and segment scorecards",BLOCKED,P1,POST-SUBTASK-099;POST-SUBTASK-100,1,EMPIRICALLY_VALIDATED,Dependency criticality only; this is not a duration estimate.
152,POST-SUBTASK-102,Subtask,"[POST-SUBTASK-102] Validate prediction coverage, scorecard completeness, hashes, ordering, no-early-access, and independent reproducibility",BLOCKED,P1,POST-SUBTASK-099;POST-SUBTASK-100;POST-SUBTASK-101,12,PRODUCTION_READY,Dependency criticality only; this is not a duration estimate.
153,POST-SUBTASK-103,Subtask,"[POST-SUBTASK-103] Evaluate task-specific calibration, intervals, tails, coherence, OOD, missingness, season/regime/source shift, market ablation, and resource robustness",BLOCKED,P1,POST-SUBTASK-087;POST-SUBTASK-096;POST-SUBTASK-102,2,IMPLEMENTED,Dependency criticality only; this is not a duration estimate.
154,POST-SUBTASK-104,Subtask,"[POST-SUBTASK-104] Apply the precommitted multi-task promotion policy, uncertainty, simplicity, operational compatibility, A&M decision, and BAS scientific decision",BLOCKED,P1,POST-SUBTASK-087;POST-SUBTASK-096;POST-SUBTASK-102;POST-SUBTASK-103,1,EMPIRICALLY_VALIDATED,Dependency criticality only; this is not a duration estimate.
155,POST-SUBTASK-105,Subtask,[POST-SUBTASK-105] Publish signed champion/retain-incumbent/no-champion artifacts and the full promotion gate matrix,BLOCKED,P1,POST-SUBTASK-087;POST-SUBTASK-096;POST-SUBTASK-102;POST-SUBTASK-103;POST-SUBTASK-104,9,PRODUCTION_READY,Dependency criticality only; this is not a duration estimate.
