risk_id,risk,severity,likelihood,mitigation,status,owner_wave
RISK-183,Sparse A&M historical depth/unit evidence is fabricated or overconfident,HIGH,HIGH,Fallback to national/unknown state and explicit uncertainty.,OPEN_WITH_CONTROL,W14-W19
RISK-184,A&M peer cohort is outcome-conditioned/cherry-picked,HIGH,MEDIUM,Predefine PIT-safe cohort rules and protected evaluation.,OPEN_WITH_CONTROL,W14-W17
RISK-185,Historical analog search leaks future/same-game outcomes,CRITICAL,MEDIUM,Strict-prior analog query contract and protected replay.,MITIGATED_BY_CONTRACT,W14-W17
RISK-186,Frequent snapshot schedule chosen from hindsight,MEDIUM,MEDIUM,Keep cadence candidates unselected; W21/W22 operations evidence decides.,OPEN_WITH_CONTROL,W14-W22
RISK-187,A&M residual gets double-counted with national features,HIGH,MEDIUM,Specialization I/O and ablation/overfit guards require incremental residual evidence.,OPEN_WITH_CONTROL,W16-W17
RISK-188,A&M evaluation priority hides national degradation,HIGH,MEDIUM,Dual A&M/national scorecards remain visible.,OPEN_WITH_CONTROL,W14-W17
RISK-189,Regime-specific A&M effect is mistaken for permanent program effect,HIGH,HIGH,"Regime slices, shrinkage and temporal stability checks.",OPEN_WITH_CONTROL,W14-W17
RISK-190,Market information contaminates pure-football A&M specialization,CRITICAL,LOW,Market lane isolation and acceptance gate.,MITIGATED_BY_CONTRACT,W14+
RISK-191,W14 specialization pre-bakes BAS fan narrative,CRITICAL,LOW,BAS isolation and no-narrative rule; W15 scientific definition only.,MITIGATED_BY_CONTRACT,W14-W15
RISK-192,Manual Kyle Field/12th Man bonus duplicates learned home-field effect,HIGH,LOW,Explicit prohibition; W13 learned home-field candidate remains authoritative.,MITIGATED_BY_CONTRACT,W14-W17
RISK-193,Complex hierarchical/stacked candidate wins from tuning noise,HIGH,HIGH,"Simple baseline, complexity review, protected test and shrinkage.",OPEN_WITH_CONTROL,W16-W17
RISK-194,Malformed W13 requirement rows propagate broken traceability,HIGH,MEDIUM,Repair 14 shifted rows in W14 and preserve IDs/history.,MITIGATED_W14,W14
RISK-195,BAS label expectation uses target/future outcomes,CRITICAL,MEDIUM,Fail-closed chronological cross-fit contract + canonical-game exclusion.,MITIGATED_W15_CONTRACT,W15-W19
RISK-196,BAS label anchor circularly consumes BAS/A&M-underperformance target,CRITICAL,MEDIUM,Protected BAS-independent primary anchor.,MITIGATED_W15_CONTRACT,W15-W17
RISK-197,Cross-fit holds out target row but trains on future seasons,CRITICAL,MEDIUM,Separate chronological model-training cutoff.,MITIGATED_W15_CONTRACT,W15-W19
RISK-198,Mirrored game rows are treated as independent evidence,HIGH,MEDIUM,Canonical-game fold/inference clustering.,MITIGATED_W15_CONTRACT,W15-W17
RISK-199,Headline/severity thresholds are cherry-picked after results,HIGH,LOW_MEDIUM,3/7/14/21 definitions frozen before empirical evaluation.,MITIGATED_W15_CONTRACT,W15-W17
RISK-200,Peer cohort is selected to amplify Aggie effect,HIGH,MEDIUM,Use frozen W14 peer candidates; no outcome conditioning.,MITIGATED_W15_CONTRACT,W15-W17
RISK-201,Regime boundary is selected after observing BAS outcomes,HIGH,MEDIUM,Effective-dated predeclared regime definitions.,MITIGATED_W15_CONTRACT,W15-W17
RISK-202,Small A&M sample creates unstable excess estimate,HIGH,HIGH,"Partial pooling, season/regime stability, intervals and null path.",OPEN_WITH_CONTROL,W17
RISK-203,Multiple severity/component tests create false discovery,HIGH,HIGH,Predeclared multiplicity/hierarchical testing policy.,OPEN_WITH_CONTROL,W17
RISK-204,Component attribution double-counts shared game value,HIGH,MEDIUM,Anti-double-counting controls; no W15 component promotion.,OPEN_WITH_CONTROL,W15-W17
RISK-205,Coaching component mistakes team/player residual for coach effect,HIGH,HIGH,W13 confound controls and partial pooling.,OPEN_WITH_CONTROL,W17
RISK-206,Collapse live evidence contaminates pregame BAS,CRITICAL,LOW_MEDIUM,Separate live-replay lane; W08 PIT isolation.,MITIGATED_W15_CONTRACT,W15-W18
RISK-207,Sensitivity market anchor silently becomes headline label,HIGH,MEDIUM,Explicit anchor IDs/label versions; primary anchor protected.,MITIGATED_W15_CONTRACT,W16-W17
RISK-208,BAS probability severities become incoherent/non-monotone,HIGH,MEDIUM,Nested probability contract + W16/W17 validation.,OPEN_WITH_CONTROL,W16-W17
RISK-209,Product naming pressures analysis toward nonzero BAS finding,HIGH,MEDIUM,Null-result policy + no narrative ground truth.,MITIGATED_W15_CONTRACT,W15-W17
RISK-210,THR-006 is invented from inspected results,CRITICAL,MEDIUM,Keep blank in W15; precommit W17 before protected evaluation.,MITIGATED_W15_CONTRACT,W17
RISK-211,Future-wave dependency inversion blocks W15/W16 sequence,HIGH,LOW,Repair TASK-101/TASK-116 dependencies in W15 and validate DAG.,MITIGATED_W15,W15
RISK-212,Independent score models create contradictory win/margin/score outputs,CRITICAL,MEDIUM,Use coherent joint distribution/derivation validator.,MITIGATED_W16_CONTRACT,W16-W20
RISK-213,Tie/overtime mass is silently dropped or split arbitrarily,HIGH,MEDIUM,Require explicit overtime resolver whenever modeled support has tie mass.,MITIGATED_W16_CONTRACT,W16-W20
RISK-214,Underdispersed count model creates overconfident probabilities,HIGH,MEDIUM,Retain overdispersed/correlated candidates and W17 calibration protocol.,OPEN,W17+
RISK-215,Complex model selected because it is fashionable,HIGH,MEDIUM,Mandatory simple baselines + no W16 winner.,MITIGATED_W16_CONTRACT,W16-W17
RISK-216,Market data leaks into pure-football lane,CRITICAL,MEDIUM,Separate forecast lanes + PIT market rule validator.,MITIGATED_W16_CONTRACT,W16+
RISK-217,Closing line leaks into earlier historical forecast,CRITICAL,MEDIUM,W08/W16 cutoff rules; market benchmark lane.,MITIGATED_W16_CONTRACT,W16+
RISK-218,A&M specialization overfits small sample and forces nonzero adjustment,CRITICAL,MEDIUM,Retain W14 no-adjustment/shrinkage baseline.,MITIGATED_W16_CONTRACT,W16-W17
RISK-219,BAS prediction architecture circularly changes W15 label anchor,CRITICAL,LOW,Protected BAS scientific anchor lane.,MITIGATED_W16_CONTRACT,W16+
RISK-220,Scenario engine double-counts availability/weather uncertainty,HIGH,MEDIUM,Explicit scenario dimensions/lineage and no blind uncertainty summation.,OPEN,W16-W20
RISK-221,Arbitrary OOD threshold produces warning spam or blind spots,HIGH,MEDIUM,Keep THR-014 blank until W17 evidence.,MITIGATED_W16_CONTRACT,W17
RISK-222,Arbitrary disagreement threshold creates false confidence,HIGH,MEDIUM,Keep THR-015 blank; account for correlated models.,MITIGATED_W16_CONTRACT,W17
RISK-223,Monte Carlo sampling noise is mistaken for epistemic uncertainty,MEDIUM,MEDIUM,Prefer exact mixtures for summaries; record seed/sample count.,MITIGATED_W16_CONTRACT,W16-W20
RISK-224,Score-support truncation loses probability mass,HIGH,MEDIUM,Normalization/tail/support checks in implementation.,OPEN,W20
RISK-225,Calibration is fitted/evaluated with future or protected leakage,CRITICAL,MEDIUM,W17 chronological calibration protocol + separate lineage.,OPEN,W17-W20
RISK-226,W16 synthetic/reference tests are misreported as predictive performance,CRITICAL,LOW,Explicit contract-only maturity and no metric claims.,MITIGATED_W16,W16
RISK-227,Protected 2024-2025 outcomes influence tuning or feature/model choices,CRITICAL,MEDIUM,Seal split/metrics before protected access; log result access and prohibit tuning feedback.,OPEN_W17_PROTOCOL_MITIGATED,W17+
RISK-228,Protected holdout is moved after disappointing results,CRITICAL,LOW,Holdout movement prohibited except pre-result documented coverage ADR; otherwise UNEVALUABLE.,MITIGATED_W17_PROTOCOL,W17+
RISK-229,Thresholds are selected after seeing protected results,CRITICAL,MEDIUM,Development-only threshold precommitment; protected results cannot set/relax values.,MITIGATED_W17_PROTOCOL,W17+
RISK-230,Blank thresholds are interpreted as zero or silently waived,CRITICAL,MEDIUM,Fail-closed reference gate returns BLOCKED_THRESHOLD_UNSET.,MITIGATED_W17_REFERENCE,W17+
RISK-231,Subgroup fishing creates spurious A&M/context claims,HIGH,MEDIUM,Predeclare scorecards; exploratory post-hoc groups cannot become promotion evidence without new sealed protocol.,MITIGATED_W17_PROTOCOL,W17+
RISK-232,A&M specialization overfits small protected sample,CRITICAL,HIGH,"Mandatory no-adjustment comparator, shrinkage/null path, dual national/A&M scorecards.",OPEN_REAL_EVIDENCE_PENDING,W17-W20
RISK-233,BAS multiple testing creates false Aggie Excess/component claims,CRITICAL,HIGH,Null-first stability/multiplicity protocol; component family controls and no-effect outcome.,OPEN_REAL_EVIDENCE_PENDING,W17-W20
RISK-234,Metric hacking favors one model by switching primary metric,HIGH,MEDIUM,Metric hierarchy frozen before protected results; Brier/MAE/proper distribution scores retain declared roles.,MITIGATED_W17_PROTOCOL,W17+
RISK-235,Calibration conclusion depends on arbitrary bins,MEDIUM,MEDIUM,ECE diagnostic only; intercept/slope/reliability and proper scores required.,MITIGATED_W17_PROTOCOL,W17+
RISK-236,Market closing data leaks into earlier forecast evaluation,CRITICAL,MEDIUM,Matched PIT cutoffs and separate benchmark lane; W08 market snapshot rules remain protected.,MITIGATED_BY_W08_W17,W17+
RISK-237,OOD score is misused as directional team-strength signal,HIGH,MEDIUM,Evaluate as warning/error association only; directional use prohibited.,MITIGATED_W17_PROTOCOL,W17+
RISK-238,Model disagreement is mistaken for calibrated uncertainty,HIGH,MEDIUM,Require incremental error/coverage evidence and THR-015 development-only thresholding.,OPEN_REAL_EVIDENCE_PENDING,W17-W20
RISK-239,Protected holdout lacks source coverage for a candidate feature,HIGH,HIGH,Report candidate unevaluable or use pre-result coverage ADR; do not replace holdout after result review.,OPEN_MATERIALIZATION_PENDING,W19-W20
RISK-240,Rule/regime shift in 2024-2025 causes distribution shift,HIGH,MEDIUM,"Keep shift visible as protected robustness evidence; analyze predeclared regime scorecard, do not tune on it.",OPEN_REAL_EVIDENCE_PENDING,W17-W20
RISK-241,Repeated future use of same protected test turns it into training feedback,CRITICAL,MEDIUM,"One-way result access, immutable result records and 2026+ forward shadow evidence; future resets require governance.",OPEN_W21_PLUS,W17-W25
RISK-242,W17 protocol PASS is misreported as trained predictive performance,CRITICAL,MEDIUM,"Explicit protocol-only maturity, zero protected metric claims and W17 validation guard.",MITIGATED_W17,W17
RISK-243,Experiment identity changes after results are seen,CRITICAL,MEDIUM,Content-derived immutable ID; result-independent identity; validator,MITIGATED_W18,W18+
RISK-244,Research agent mutates W17 judging rules,CRITICAL,MEDIUM,Hash seal + role separation + seal validator,MITIGATED_W18,W18+
RISK-245,HPO tunes on protected holdout or forward shadow,CRITICAL,MEDIUM,Development-only objective guard; protected metrics denied,MITIGATED_W18,W18+
RISK-246,Tracking tool becomes governance source of truth,HIGH,MEDIUM,Tool-neutral canonical experiment/result packets and stdlib reference backend,MITIGATED_W18,W18+
RISK-247,Optuna SQLite is misused for distributed/NFS optimization,HIGH,LOW,Explicit Journal/RDB policy and validator/documentation,MITIGATED_W18,W18+
RISK-248,Experiment worker mutates canonical repository,CRITICAL,MEDIUM,Isolated worktree/snapshot contract; adoption review,MITIGATED_W18,W18+
RISK-249,Negative experiments are deleted causing survivorship bias,HIGH,MEDIUM,Immutable rejected/failed lineage retention,MITIGATED_W18,W18+
RISK-250,Silent changed-config retries corrupt lineage,HIGH,MEDIUM,Changed identity inputs require new experiment ID,MITIGATED_W18,W18+
RISK-251,Replay mismatch is ignored,CRITICAL,LOW,Replay gate blocks/inconclusive adoption,MITIGATED_W18,W18+
RISK-252,Research candidate self-promotes to champion,CRITICAL,MEDIUM,No PROMOTE queue state; external promotion governor only,MITIGATED_W18,W18+
RISK-253,Protected metrics leak back into research/HPO loop,CRITICAL,MEDIUM,One-way protected evaluator evidence boundary,MITIGATED_W18,W18+
RISK-254,Complex neural/graph research consumes resources before baselines,HIGH,MEDIUM,Advanced challenger admission gate,MITIGATED_W18,W18+
RISK-255,Paid compute starts without approval,HIGH,LOW,Resource budget + explicit paid-compute approval,MITIGATED_W18,W18+
RISK-256,Concurrent worktrees mutate shared contracts,HIGH,MEDIUM,Bounded concurrency + W05 shared-contract ownership policy,OPEN_W19_PLUS,W18+
RISK-257,MLflow/Optuna version drift breaks replay,MEDIUM,MEDIUM,Environment fingerprint + later version locks/adapters,OPEN_W19_PLUS,W18+
RISK-258,Large experiment artifacts enter cumulative ZIP,HIGH,LOW,External artifact manifests + forbidden/size scan,MITIGATED_W18,W18+
RISK-259,Research logs leak secrets or restricted data,CRITICAL,LOW,Existing secret/logging controls; sanitized artifact manifests,OPEN_W19_PLUS,W18+
RISK-260,W18 reference PASS is misreported as empirical performance,CRITICAL,MEDIUM,Explicit maturity + zero trained result claims + validator,MITIGATED_W18,W18+
RISK-261,Feature tournament ranking is mistaken for production feature promotion,CRITICAL,MEDIUM,Tournament outputs cannot emit CORE/SUPPORTED/PROMOTE,MITIGATED_W18_REFERENCE,W18+
RISK-262,Model tournament omits simple baseline and overstates complex model value,HIGH,MEDIUM,Mandatory baseline ladder,MITIGATED_W18_REFERENCE,W18+
RISK-263,A&M specialization tournament forces nonzero adjustment,CRITICAL,MEDIUM,TAMU-SP-00 mandatory comparator,MITIGATED_W18_REFERENCE,W18+
RISK-264,Market-augmented result contaminates pure-football lane,CRITICAL,LOW,Lane compatibility and isolation,MITIGATED_W18_REFERENCE,W18+
RISK-265,HPO search space changes after observing trials,HIGH,MEDIUM,Versioned immutable search-space spec,MITIGATED_W18_REFERENCE,W18+
RISK-266,Protected metrics leak into HPO objective or pruning,CRITICAL,MEDIUM,Development-only HPO split validation,MITIGATED_W18_REFERENCE,W18+
RISK-267,HPO search runs unbounded and exhausts local resources,HIGH,MEDIUM,Trial/concurrency/resource budget,MITIGATED_W18_REFERENCE,W18+
RISK-268,Shared SQLite is misused as distributed/NFS HPO coordination,MEDIUM,LOW,Backend policy rejects distributed/NFS SQLite,MITIGATED_W18_REFERENCE,W18+
RISK-269,Hypothesis is rewritten after negative result,HIGH,MEDIUM,Append-only hypothesis/version history,MITIGATED_W18_REFERENCE,W18+
RISK-270,Duplicate experiment identities waste compute and confuse lineage,MEDIUM,MEDIUM,Queue deduplication,MITIGATED_W18_REFERENCE,W18+
RISK-271,Infrastructure failure is misclassified as scientific rejection,HIGH,MEDIUM,Typed failure taxonomy,MITIGATED_W18_REFERENCE,W18+
RISK-272,Scientific rejection is retried indefinitely as infrastructure failure,HIGH,MEDIUM,Retry eligibility by failure class,MITIGATED_W18_REFERENCE,W18+
RISK-273,Experiment worker mutates protected W17 judging files,CRITICAL,LOW,Protected mutation scope + judging seal,MITIGATED_W18_REFERENCE,W18+
RISK-274,Large model/data artifacts inflate cumulative ZIP or violate rights,HIGH,MEDIUM,Artifact manifest and external storage policy,MITIGATED_W18_REFERENCE,W18+
RISK-275,Replay mismatch is ignored to preserve favorable candidate,CRITICAL,LOW,Nonwaivable replay/adoption gate,MITIGATED_W18_REFERENCE,W18+
RISK-276,Incompatible candidates are ranked as if metrics were comparable,HIGH,MEDIUM,Tournament comparison compatibility gate,MITIGATED_W18_REFERENCE,W18+
RISK-277,Negative/dominated experiments are deleted causing search bias,HIGH,MEDIUM,Retained search lineage,MITIGATED_W18_REFERENCE,W18+
RISK-278,Thin corrected artifact is again marked complete without master coverage,CRITICAL,LOW,W18 master requirement coverage validator,MITIGATED_W18_REFERENCE,W18+
RISK-279,Earlier draft W18 is accidentally used as W19 parent,CRITICAL,MEDIUM,Supersession note + corrected binding/version,MITIGATED_W18_REFERENCE,W18+
RISK-280,Corrected W18 changes or drops a W17 canonical file,CRITICAL,LOW,Parent-preservation audit against authoritative W17 ZIP,MITIGATED_W18_REFERENCE,W18+
RISK-281,Local experiment database corruption,high,low,"Use transactions, integrity checks, backups, and reconstructable immutable evidence.",MITIGATED_REFERENCE_W18,W18+
RISK-282,Queue history mutation or event-chain break,high,low,Append-only event indexes/hash chain; block inconsistent append.,MITIGATED_REFERENCE_W18,W18+
RISK-283,Retry accidentally changes scientific identity,high,medium,Canonical result-independent IDs; child experiment required for material changes.,MITIGATED_REFERENCE_W18,W18+
RISK-284,Research scheduler overcommits local hardware,medium,medium,Explicit CPU/RAM/GPU/VRAM/disk admission and concurrency budgets.,MITIGATED_REFERENCE_W18,W18+
RISK-285,Paid compute starts without approval,high,low,Paid-compute flag blocked unless explicit approval is present.,MITIGATED_REFERENCE_W18,W18+
RISK-286,Shared contract mutated by parallel experiment,high,medium,Protected mutation scopes and worktree/file locks.,MITIGATED_REFERENCE_W18,W18+
RISK-287,Incomparable experiment results ranked together,high,medium,Semantic compatibility gate across target/split/data/features/lane/BAS/A&M.,MITIGATED_REFERENCE_W18,W18+
RISK-288,Composite tournament score hides regressions,medium,medium,Retain primary + secondary metrics and Pareto evidence; avoid arbitrary scalarization.,MITIGATED_REFERENCE_W18,W18+
RISK-289,Large/restricted artifacts leak into repo,high,medium,Artifact class/sensitivity validation and forbidden-artifact scan.,MITIGATED_REFERENCE_W18,W18+
RISK-290,Protected metrics leak into HPO/result packet,critical,low,Result-packet/HPO negative tests and one-way promotion bridge.,MITIGATED_REFERENCE_W18,W18+
RISK-291,Replay tolerance selected after mismatch,high,low,Tolerance stored in replay plan before execution.,MITIGATED_REFERENCE_W18,W18+
RISK-292,MLflow state mistaken for canonical champion,high,medium,Non-authority adapter contract and tests.,MITIGATED_REFERENCE_W18,W18+
RISK-293,Optuna trial history not exported canonically,medium,medium,Canonical evidence export requirement and adapter tests.,MITIGATED_REFERENCE_W18,W18+
RISK-294,Nested search multiplicity hidden,high,medium,Search multiplicity ledger and parent/child study links.,MITIGATED_REFERENCE_W18,W18+
RISK-295,Research automation repeats dead ends,medium,medium,Negative-history lookup/deduplication before approval.,MITIGATED_REFERENCE_W18,W18+
RISK-296,Infrastructure failure mislabeled as hypothesis rejection,high,medium,Explicit failure taxonomy and separate scientific_rejection flag.,MITIGATED_REFERENCE_W18,W18+
RISK-297,Worktree cleanup destroys reproducibility evidence,high,low,Persist spec/result/artifact/replay evidence before cleanup.,MITIGATED_REFERENCE_W18,W18+
RISK-298,Advanced model admitted before baseline exists,high,medium,Admission gate blocks complex candidates without conventional baseline evidence.,MITIGATED_REFERENCE_W18,W18+
RISK-299,Wave marked complete from shallow prose-only artifacts,critical,medium,Full-rebuild executable subsystem/test gate and master coverage audit.,MITIGATED_REFERENCE_W18,W18+
RISK-300,Wrong W18 artifact reused as W19 parent,critical,medium,"Supersession ledger, new hashes, pair binding and W18→W19 verifier.",OPEN_UNTIL_FINAL_PAIR,W18+
RISK-301,Stale forecast is presented as current,high,medium,Expose cutoff/published/serve timestamps; no CURRENT label without configured THR-010; explicit STALE warning when threshold exceeded.,MITIGATED_REFERENCE_W22,W22-W23
RISK-302,Serving path bypasses immutable snapshot boundary,critical,low,Static AST/import boundary test plus product service reads only published artifacts.,MITIGATED_REFERENCE_W22,W22-W23
RISK-303,Product snapshot schema evolution breaks prior W21 artifacts,high,medium,Versioned v2 envelope with v1 default parser compatibility and dedicated regression test.,MITIGATED_REFERENCE_W22,W22-W24
RISK-304,Dependency drift or vulnerable optional web dependency enters production surface,high,medium,Exact W23 product lock; dependency policy; CodeQL/dependency-review CI; runtime package manifest,MITIGATED_REFERENCE_W23,W23+
RISK-305,Operational logs expose credentials or restricted raw source data,critical,medium,Structured metadata-only events; sensitive-key/value redaction; repository secret scan,MITIGATED_REFERENCE_W23,W23+
RISK-306,Backup appears successful but restores corrupted or path-unsafe state,critical,low,Per-file SHA-256 manifest; coverage verification; path-safe empty-destination restore drill,MITIGATED_REFERENCE_W23,W23+
RISK-307,Non-target benchmark is mistaken for target-hardware capacity evidence,high,high,Benchmark artifact records target_match/authoritative flags; TASK-161 and AC-038 stay blocked until target run,OPEN_BLOCKER_W23,W23
RISK-308,User-directed W24 sequencing override is misread as clearing W23 target-hardware evidence,high,medium,ADR-341/AC-233 preserve TASK-161/TASK-163/THR-011/THR-012 and force W25 carry-forward if unresolved,OPEN_CARRIED_W25,W24-W25
RISK-309,Shared SportsDataverse upstream is double-counted as independent corroboration,high,medium,SRC-061 provenance graph and REQ-742 prohibit independent-evidence treatment of -raw/-data sibling layers,MITIGATED_REFERENCE_W24,W24+
RISK-310,Short-history ensemble weather source is promoted as a universal historical feature without evidence,medium,medium,SRC-062 remains OPTIONAL/RESEARCH_ONLY and feature lifecycle still requires PIT-safe empirical promotion,MITIGATED_POLICY_W24,W24+
