join_path_id,evidence_kind,source_artifact,contract_id,left_source,right_source,entity_or_relation,join_expression,join_type,confidence,required_validation,risk,canonical_policy,semantic_validation_required,left,right,join_key_or_method,notes,dataset,join_key_candidate,present,note,join_method,A&M evidence,canonical entity,national source counterpart,join strategy
JP-0085,SPORTSDATAVERSE_FIELD_PRESENCE,analysis/SPORTSDATAVERSE_JOIN_KEY_FIELD_AUDIT.csv,,,,,,,,,,CANONICAL_IDENTITY_OR_VALIDATED_MAPPING_REQUIRED,true,,,,,player_box,game_id,True,Presence only; semantic compatibility/type normalization still required.,,,,,
JP-0086,SPORTSDATAVERSE_FIELD_PRESENCE,analysis/SPORTSDATAVERSE_JOIN_KEY_FIELD_AUDIT.csv,,,,,,,,,,CANONICAL_IDENTITY_OR_VALIDATED_MAPPING_REQUIRED,true,,,,,player_box,season,True,Presence only; semantic compatibility/type normalization still required.,,,,,
JP-0087,SPORTSDATAVERSE_FIELD_PRESENCE,analysis/SPORTSDATAVERSE_JOIN_KEY_FIELD_AUDIT.csv,,,,,,,,,,CANONICAL_IDENTITY_OR_VALIDATED_MAPPING_REQUIRED,true,,,,,player_box,week,True,Presence only; semantic compatibility/type normalization still required.,,,,,
JP-0088,SPORTSDATAVERSE_FIELD_PRESENCE,analysis/SPORTSDATAVERSE_JOIN_KEY_FIELD_AUDIT.csv,,,,,,,,,,CANONICAL_IDENTITY_OR_VALIDATED_MAPPING_REQUIRED,true,,,,,player_box,team_id,True,Presence only; semantic compatibility/type normalization still required.,,,,,
JP-0089,SPORTSDATAVERSE_FIELD_PRESENCE,analysis/SPORTSDATAVERSE_JOIN_KEY_FIELD_AUDIT.csv,,,,,,,,,,CANONICAL_IDENTITY_OR_VALIDATED_MAPPING_REQUIRED,true,,,,,player_box,athlete_id,True,Presence only; semantic compatibility/type normalization still required.,,,,,
JP-0090,SPORTSDATAVERSE_FIELD_PRESENCE,analysis/SPORTSDATAVERSE_JOIN_KEY_FIELD_AUDIT.csv,,,,,,,,,,CANONICAL_IDENTITY_OR_VALIDATED_MAPPING_REQUIRED,true,,,,,power_index,game_id,True,Presence only; semantic compatibility/type normalization still required.,,,,,
JP-0091,SPORTSDATAVERSE_FIELD_PRESENCE,analysis/SPORTSDATAVERSE_JOIN_KEY_FIELD_AUDIT.csv,,,,,,,,,,CANONICAL_IDENTITY_OR_VALIDATED_MAPPING_REQUIRED,true,,,,,power_index,season,True,Presence only; semantic compatibility/type normalization still required.,,,,,
JP-0092,SPORTSDATAVERSE_FIELD_PRESENCE,analysis/SPORTSDATAVERSE_JOIN_KEY_FIELD_AUDIT.csv,,,,,,,,,,CANONICAL_IDENTITY_OR_VALIDATED_MAPPING_REQUIRED,true,,,,,power_index,team_id,True,Presence only; semantic compatibility/type normalization still required.,,,,,
JP-0093,SPORTSDATAVERSE_FIELD_PRESENCE,analysis/SPORTSDATAVERSE_JOIN_KEY_FIELD_AUDIT.csv,,,,,,,,,,CANONICAL_IDENTITY_OR_VALIDATED_MAPPING_REQUIRED,true,,,,,receiving,player_id,True,Presence only; semantic compatibility/type normalization still required.,,,,,
JP-0094,SPORTSDATAVERSE_FIELD_PRESENCE,analysis/SPORTSDATAVERSE_JOIN_KEY_FIELD_AUDIT.csv,,,,,,,,,,CANONICAL_IDENTITY_OR_VALIDATED_MAPPING_REQUIRED,true,,,,,rosters,season,True,Presence only; semantic compatibility/type normalization still required.,,,,,
JP-0095,SPORTSDATAVERSE_FIELD_PRESENCE,analysis/SPORTSDATAVERSE_JOIN_KEY_FIELD_AUDIT.csv,,,,,,,,,,CANONICAL_IDENTITY_OR_VALIDATED_MAPPING_REQUIRED,true,,,,,rosters,team_id,True,Presence only; semantic compatibility/type normalization still required.,,,,,
JP-0096,SPORTSDATAVERSE_FIELD_PRESENCE,analysis/SPORTSDATAVERSE_JOIN_KEY_FIELD_AUDIT.csv,,,,,,,,,,CANONICAL_IDENTITY_OR_VALIDATED_MAPPING_REQUIRED,true,,,,,rosters,athlete_id,True,Presence only; semantic compatibility/type normalization still required.,,,,,
JP-0097,SPORTSDATAVERSE_FIELD_PRESENCE,analysis/SPORTSDATAVERSE_JOIN_KEY_FIELD_AUDIT.csv,,,,,,,,,,CANONICAL_IDENTITY_OR_VALIDATED_MAPPING_REQUIRED,true,,,,,rushing,player_id,True,Presence only; semantic compatibility/type normalization still required.,,,,,
JP-0098,SPORTSDATAVERSE_FIELD_PRESENCE,analysis/SPORTSDATAVERSE_JOIN_KEY_FIELD_AUDIT.csv,,,,,,,,,,CANONICAL_IDENTITY_OR_VALIDATED_MAPPING_REQUIRED,true,,,,,schedules,game_id,True,Presence only; semantic compatibility/type normalization still required.,,,,,
JP-0099,SPORTSDATAVERSE_FIELD_PRESENCE,analysis/SPORTSDATAVERSE_JOIN_KEY_FIELD_AUDIT.csv,,,,,,,,,,CANONICAL_IDENTITY_OR_VALIDATED_MAPPING_REQUIRED,true,,,,,schedules,season,True,Presence only; semantic compatibility/type normalization still required.,,,,,
JP-0100,SPORTSDATAVERSE_FIELD_PRESENCE,analysis/SPORTSDATAVERSE_JOIN_KEY_FIELD_AUDIT.csv,,,,,,,,,,CANONICAL_IDENTITY_OR_VALIDATED_MAPPING_REQUIRED,true,,,,,schedules,week,True,Presence only; semantic compatibility/type normalization still required.,,,,,
JP-0101,SPORTSDATAVERSE_FIELD_PRESENCE,analysis/SPORTSDATAVERSE_JOIN_KEY_FIELD_AUDIT.csv,,,,,,,,,,CANONICAL_IDENTITY_OR_VALIDATED_MAPPING_REQUIRED,true,,,,,schedules,home_id,True,Presence only; semantic compatibility/type normalization still required.,,,,,
JP-0102,SPORTSDATAVERSE_FIELD_PRESENCE,analysis/SPORTSDATAVERSE_JOIN_KEY_FIELD_AUDIT.csv,,,,,,,,,,CANONICAL_IDENTITY_OR_VALIDATED_MAPPING_REQUIRED,true,,,,,schedules,away_id,True,Presence only; semantic compatibility/type normalization still required.,,,,,
JP-0103,SPORTSDATAVERSE_FIELD_PRESENCE,analysis/SPORTSDATAVERSE_JOIN_KEY_FIELD_AUDIT.csv,,,,,,,,,,CANONICAL_IDENTITY_OR_VALIDATED_MAPPING_REQUIRED,true,,,,,schedules,venue_id,True,Presence only; semantic compatibility/type normalization still required.,,,,,
JP-0104,SPORTSDATAVERSE_FIELD_PRESENCE,analysis/SPORTSDATAVERSE_JOIN_KEY_FIELD_AUDIT.csv,,,,,,,,,,CANONICAL_IDENTITY_OR_VALIDATED_MAPPING_REQUIRED,true,,,,,team_box,game_id,True,Presence only; semantic compatibility/type normalization still required.,,,,,
JP-0105,SPORTSDATAVERSE_FIELD_PRESENCE,analysis/SPORTSDATAVERSE_JOIN_KEY_FIELD_AUDIT.csv,,,,,,,,,,CANONICAL_IDENTITY_OR_VALIDATED_MAPPING_REQUIRED,true,,,,,team_box,season,True,Presence only; semantic compatibility/type normalization still required.,,,,,
JP-0106,SPORTSDATAVERSE_FIELD_PRESENCE,analysis/SPORTSDATAVERSE_JOIN_KEY_FIELD_AUDIT.csv,,,,,,,,,,CANONICAL_IDENTITY_OR_VALIDATED_MAPPING_REQUIRED,true,,,,,team_box,week,True,Presence only; semantic compatibility/type normalization still required.,,,,,
JP-0107,SPORTSDATAVERSE_FIELD_PRESENCE,analysis/SPORTSDATAVERSE_JOIN_KEY_FIELD_AUDIT.csv,,,,,,,,,,CANONICAL_IDENTITY_OR_VALIDATED_MAPPING_REQUIRED,true,,,,,team_box,team_id,True,Presence only; semantic compatibility/type normalization still required.,,,,,
JP-0108,CFBD_CROSS_SOURCE,analysis/CFBD_CROSS_SOURCE_JOIN_MAP.csv,,,,,,,MEDIUM_HIGH,,,CANONICAL_IDENTITY_OR_VALIDATED_MAPPING_REQUIRED,true,CFBD Game.id,SportsDataverse game_id/id,,Likely common upstream event identity; requires authenticated real-response verification before canonical direct-join status.,,,,,candidate direct numeric game identity,,,,
JP-0109,CFBD_CROSS_SOURCE,analysis/CFBD_CROSS_SOURCE_JOIN_MAP.csv,,,,,,,MEDIUM_HIGH,,,CANONICAL_IDENTITY_OR_VALIDATED_MAPPING_REQUIRED,true,CFBD Game.homeId/awayId,SportsDataverse home_team_id/away_team_id,,Do not assume until real sample verification; keep canonical team map.,,,,,candidate direct team IDs,,,,
JP-0110,CFBD_CROSS_SOURCE,analysis/CFBD_CROSS_SOURCE_JOIN_MAP.csv,,,,,,,MEDIUM,,,CANONICAL_IDENTITY_OR_VALIDATED_MAPPING_REQUIRED,true,CFBD Game.venueId / Venue.id,SportsDataverse venue_id,,Verify with real game/venue samples; fallback canonical venue map.,,,,,candidate direct venue ID,,,,
JP-0111,CFBD_CROSS_SOURCE,analysis/CFBD_CROSS_SOURCE_JOIN_MAP.csv,,,,,,,MEDIUM,,,CANONICAL_IDENTITY_OR_VALIDATED_MAPPING_REQUIRED,true,CFBD RosterPlayer.id,SportsDataverse athlete/player IDs,,Type differs (CFBD string); verify actual IDs and aliases.,,,,,candidate player identity,,,,
JP-0112,CFBD_CROSS_SOURCE,analysis/CFBD_CROSS_SOURCE_JOIN_MAP.csv,,,,,,,HIGH,,,CANONICAL_IDENTITY_OR_VALIDATED_MAPPING_REQUIRED,true,CFBD Recruit.athleteId,CFBD RosterPlayer.id,,`recruitIds` on roster plus `athleteId` on recruit provide internal linkage surface.,,,,,documented athlete/recruit linkage candidate,,,,
JP-0113,CFBD_CROSS_SOURCE,analysis/CFBD_CROSS_SOURCE_JOIN_MAP.csv,,,,,,,HIGH,,,CANONICAL_IDENTITY_OR_VALIDATED_MAPPING_REQUIRED,true,CFBD BettingGame.id,CFBD Game.id,,Same API game key.,,,,,direct game ID,,,,
JP-0114,CFBD_CROSS_SOURCE,analysis/CFBD_CROSS_SOURCE_JOIN_MAP.csv,,,,,,,HIGH,,,CANONICAL_IDENTITY_OR_VALIDATED_MAPPING_REQUIRED,true,CFBD PregameWinProbability.gameId,CFBD Game.id,,Same API game key.,,,,,direct game ID,,,,
JP-0115,CFBD_CROSS_SOURCE,analysis/CFBD_CROSS_SOURCE_JOIN_MAP.csv,,,,,,,HIGH,,,CANONICAL_IDENTITY_OR_VALIDATED_MAPPING_REQUIRED,true,CFBD GameWeather.id,CFBD Game.id,,Same API game key.,,,,,direct game ID,,,,
JP-0116,CFBD_CROSS_SOURCE,analysis/CFBD_CROSS_SOURCE_JOIN_MAP.csv,,,,,,,HIGH,,,CANONICAL_IDENTITY_OR_VALIDATED_MAPPING_REQUIRED,true,CFBD Team.id,CFBD Game.homeId/awayId,,Same API identity domain.,,,,,direct team ID,,,,
JP-0117,CFBD_CROSS_SOURCE,analysis/CFBD_CROSS_SOURCE_JOIN_MAP.csv,,,,,,,DERIVED_HIGH,,,CANONICAL_IDENTITY_OR_VALIDATED_MAPPING_REQUIRED,true,CFBD Venue.id,Open-Meteo,,Venue supplies timezone/coordinates; historical observation vs forecast-time weather must be separated.,,,,,latitude/longitude + kickoff timestamp,,,,
JP-0118,CFBD_CROSS_SOURCE,analysis/CFBD_CROSS_SOURCE_JOIN_MAP.csv,,,,,,,MEDIUM,,,CANONICAL_IDENTITY_OR_VALIDATED_MAPPING_REQUIRED,true,CFBD team names,Knight-Newhouse / official school sources,,Use canonical program IDs; never string-join blindly.,,,,,canonical program alias map,,,,
JP-0119,TAMU_CROSS_SOURCE,analysis/TAMU_CROSS_SOURCE_JOIN_MAP.csv,,,,,,,,,name/position changes,CANONICAL_IDENTITY_OR_VALIDATED_MAPPING_REQUIRED,true,,,,,,,,,,official roster player,player,CFBD roster / SportsDataverse roster,canonical_player_id + season + team; IDs when available
JP-0120,TAMU_CROSS_SOURCE,analysis/TAMU_CROSS_SOURCE_JOIN_MAP.csv,,,,,,,,,kickoff reschedules,CANONICAL_IDENTITY_OR_VALIDATED_MAPPING_REQUIRED,true,,,,,,,,,,official schedule game,game,CFBD Game / SportsDataverse schedules,team + opponent + date then verify game_id
JP-0121,TAMU_CROSS_SOURCE,analysis/TAMU_CROSS_SOURCE_JOIN_MAP.csv,,,,,,,,,role-title changes,CANONICAL_IDENTITY_OR_VALIDATED_MAPPING_REQUIRED,true,,,,,,,,,,official staff assignment,coach,CFBD coaches plus custom coach graph,canonical_coach_id + effective dates
JP-0122,TAMU_CROSS_SOURCE,analysis/TAMU_CROSS_SOURCE_JOIN_MAP.csv,,,,,,,,,renames/neutral site,CANONICAL_IDENTITY_OR_VALIDATED_MAPPING_REQUIRED,true,,,,,,,,,,official venue,venue,CFBD Venue / Step4 stadiums,canonical_venue_id
JP-0123,TAMU_CROSS_SOURCE,analysis/TAMU_CROSS_SOURCE_JOIN_MAP.csv,,,,,,,,,document can contain season-to-date stats,CANONICAL_IDENTITY_OR_VALIDATED_MAPPING_REQUIRED,true,,,,,,,,,,game notes / flip card,game-week snapshot,feature/state tables,game + published_at
JP-0124,TAMU_CROSS_SOURCE,analysis/TAMU_CROSS_SOURCE_JOIN_MAP.csv,,,,,,,,,name changes/reclassification,CANONICAL_IDENTITY_OR_VALIDATED_MAPPING_REQUIRED,true,,,,,,,,,,signing-day recruit,recruit/player,CFBD recruiting / roster,recruit identity + future roster mapping
