adr_id,acceptance_control_ids,status,notes
ADR-288,AC-197,MAPPED,Corrected W18 decision.
ADR-289,AC-199,MAPPED,Corrected W18 decision.
ADR-290,AC-200,MAPPED,Corrected W18 decision.
ADR-291,AC-198,MAPPED,Corrected W18 decision.
ADR-292,AC-196,MAPPED,Corrected W18 decision.
ADR-293,AC-201,MAPPED,Corrected W18 decision.
ADR-294,AC-202,MAPPED,Corrected W18 decision.
ADR-295,AC-206,MAPPED,Corrected W18 decision.
ADR-296,AC-205,MAPPED,Corrected W18 decision.
ADR-297,AC-209,PASS_W18_FULL_REFERENCE,Full-rebuild W18 decision covered by executable subsystem validation.
ADR-298,AC-210,PASS_W18_FULL_REFERENCE,Full-rebuild W18 decision covered by executable subsystem validation.
ADR-299,AC-211,PASS_W18_FULL_REFERENCE,Full-rebuild W18 decision covered by executable subsystem validation.
ADR-300,AC-212,PASS_W18_FULL_REFERENCE,Full-rebuild W18 decision covered by executable subsystem validation.
ADR-301,AC-213,PASS_W18_FULL_REFERENCE,Full-rebuild W18 decision covered by executable subsystem validation.
ADR-302,AC-214,PASS_W18_FULL_REFERENCE,Full-rebuild W18 decision covered by executable subsystem validation.
ADR-303,AC-215,PASS_W18_FULL_REFERENCE,Full-rebuild W18 decision covered by executable subsystem validation.
ADR-304,AC-216,PASS_W18_FULL_REFERENCE,Full-rebuild W18 decision covered by executable subsystem validation.
ADR-305,AC-217,PASS_W18_FULL_REFERENCE,Full-rebuild W18 decision covered by executable subsystem validation.
ADR-306,AC-218,PASS_W18_FULL_REFERENCE,Full-rebuild W18 decision covered by executable subsystem validation.
ADR-307,AC-219,PASS_W18_FULL_REFERENCE,Full-rebuild W18 decision covered by executable subsystem validation.
ADR-308,AC-220,PASS_W18_FULL_REFERENCE,Full-rebuild W18 decision covered by executable subsystem validation.
ADR-309,AC-221,PASS_W18_FULL_REFERENCE,Full-rebuild W18 decision covered by executable subsystem validation.
ADR-310,AC-222,PASS_W18_FULL_REFERENCE,Full-rebuild W18 decision covered by executable subsystem validation.
ADR-311,AC-223,PASS_W18_FULL_REFERENCE,Full-rebuild W18 decision covered by executable subsystem validation.
ADR-312,AC-224,PASS_W18_FULL_REFERENCE,Full-rebuild W18 decision covered by executable subsystem validation.
ADR-313,AC-225,PASS_W18_FULL_REFERENCE,Full-rebuild W18 decision covered by executable subsystem validation.
ADR-314,AC-226,PASS_W18_FULL_REFERENCE,Full-rebuild W18 decision covered by executable subsystem validation.
ADR-315,AC-227,PASS_W18_FULL_REFERENCE,Full-rebuild W18 decision covered by executable subsystem validation.
ADR-316,AC-228,PASS_W18_FULL_REFERENCE,Full-rebuild W18 decision covered by executable subsystem validation.
ADR-317,AC-008;AC-055;AC-056,,W19 functional starter decision evidence.
ADR-318,AC-055;AC-056,,W19 functional starter decision evidence.
ADR-319,AC-008;AC-055;AC-056,,W19 functional starter decision evidence.
ADR-320,AC-055;AC-056,MAPPED,W20 executable starter evidence; empirical promotion remains later evidence.
ADR-321,AC-022;AC-055;AC-056,MAPPED,W20 executable starter evidence; empirical promotion remains later evidence.
ADR-322,AC-022;AC-055;AC-056,MAPPED,W20 executable starter evidence; empirical promotion remains later evidence.
ADR-323,AC-022;AC-025;AC-026,MAPPED,W20 executable starter evidence; empirical promotion remains later evidence.
ADR-324,AC-033;AC-055;AC-056,MAPPED,W20 executable starter evidence; empirical promotion remains later evidence.
ADR-325,AC-028;AC-030;AC-033,MAPPED,W20 executable starter evidence; empirical promotion remains later evidence.
ADR-326,AC-032;AC-036;AC-055;AC-056,MAPPED,W21 executable weekly-MLOps starter evidence; protected empirical promotion remains external.
ADR-327,AC-020;AC-036;AC-055;AC-056,MAPPED,W21 executable weekly-MLOps starter evidence; protected empirical promotion remains external.
ADR-328,AC-031;AC-055;AC-056,MAPPED,W21 executable weekly-MLOps starter evidence; protected empirical promotion remains external.
ADR-329,AC-033;AC-037;AC-055;AC-056,MAPPED,W21 executable weekly-MLOps starter evidence; protected empirical promotion remains external.
ADR-330,AC-033;AC-039;AC-055;AC-056,MAPPED,W21 executable weekly-MLOps starter evidence; protected empirical promotion remains external.
ADR-331,AC-033;AC-046;AC-055;AC-056,MAPPED,W22 backward-compatible snapshot/product evidence.
ADR-332,AC-046;AC-055;AC-056,MAPPED,W22 framework decision; base runtime remains dependency-free.
ADR-333,AC-037;AC-055;AC-056,MAPPED,W22 stale visibility tested; THR-010 remains TBD.
ADR-334,AC-046;AC-055;AC-056,MAPPED,W22 serving-boundary/non-causal explanation evidence.
ADR-335,AC-046;AC-055;AC-056,MAPPED,W22 file-backed product store; PostgreSQL remains conditional.
ADR-336,AC-034;AC-038;AC-041;AC-042;AC-055;AC-056,MAPPED,W23 local-first operations decision.
ADR-337,AC-041;AC-055;AC-056,MAPPED,W23 dependency/CI evidence.
ADR-338,AC-034;AC-042;AC-055;AC-056,MAPPED,W23 structured telemetry/runtime evidence.
ADR-339,AC-039;AC-040;AC-055;AC-056,MAPPED,W23 backup/restore and retention tests.
ADR-340,AC-038;AC-055;AC-056,MAPPED,W23 target-hardware blocker preserved honestly.
ADR-341,AC-233;AC-234;AC-055;AC-056,MAPPED,W24 sequencing override preserves W23 blocker.
ADR-342,AC-229;AC-055;AC-056,MAPPED,Cross-layer executable readiness.
ADR-343,AC-230;AC-011;AC-012,MAPPED,Target-game leakage guard.
ADR-344,AC-231;AC-009;AC-010,MAPPED,SportsDataverse provenance graph.
ADR-345,AC-231;AC-013;AC-059,MAPPED,Weather access/uncertainty source refinement.
ADR-346,AC-232;AC-233;AC-234,MAPPED,Final architecture challenge and carried blocker.
ADR-347,AC-002;AC-003;AC-045;AC-055;AC-056,MAPPED,W25 terminal-wave/final-handoff integrity.
ADR-348,AC-038;AC-045;AC-055;AC-056,MAPPED,W25 maturity honesty and carried hardware condition.
ADR-349,AC-023;AC-045;AC-055;AC-056,MAPPED,W25 evidence-first post-wave priority.
