change_id,wave,original_strategy,revised_strategy,reason,affected_requirements,affected_adrs,affected_future_waves
CHANGE-106,W18,Artifact/replay policy lacked full class/store integration,"Add artifact class policy, precommitted replay tolerance and store linkage",Reproducibility requires executable artifact/replay boundaries,REQ-688;REQ-690;REQ-698,ADR-304;ADR-306;ADR-313,W19-W23
CHANGE-107,W18,Tracking adapters had no dependency-free operational fallback,Add local JSONL tracker and explicit MLflow non-authority boundary,Research governance must survive optional tool absence,REQ-692;REQ-693,ADR-307;ADR-308,W19-W23
CHANGE-108,W18,HPO search history could hide nested multiplicity,Retain outer/inner search counts and canonical Optuna evidence export,Improves later interpretation of development selection bias,REQ-694;REQ-695,ADR-309;ADR-310,W20-W24
CHANGE-109,W18,Negative results and retries were not integrated deeply enough,Separate operational failure from scientific rejection and query negative history before repeat,Autonomous agents must not erase/repeat dead ends,REQ-683;REQ-696;REQ-697,ADR-299;ADR-311;ADR-312,W19-W23
CHANGE-110,W18,W18 completion could still pass with shallow subsystem coverage,"Require 170-test full-rebuild subsystem gate, full requirement→artifact matrix and all W18 owner tasks DONE",Direct response to repeated underbuilt W18 artifact failure,REQ-699;REQ-700,ADR-315;ADR-316,W19-W25
CHANGE-111,W19,W07-W10 remained primarily contract/scaffold maturity,Implement dependency-free content-addressed source→PIT→feature starter,Converts protected contracts into executable lineage-preserving foundation without premature infrastructure,REQ-701;REQ-702;REQ-703;REQ-704;REQ-705,ADR-317;ADR-318;ADR-319,W20-W24
CHANGE-112,W20,W20 assumed W19 advanced-state implementation dependencies were complete,Pull TASK-083..087 into W20 and implement/test a PIT advanced-state aggregation boundary,Critical-path audit found TASK-087 blocked by four W19-owned PLANNED tasks,REQ-713,ADR-320,W21-W24
CHANGE-113,W20,Boosted tree starter could imply immediate dependency installation,Keep boosting as optional injected adapter while functional dependency-free baselines/joint-score runtime are implemented,Local-first simplicity rule and no empirical winner yet,REQ-708,ADR-322,W21-W24
CHANGE-114,W20,Prior-wave validator required repository current_wave to remain W19,Make W19 foundation validator forward-compatible while still checking preserved W19 files/tasks,Cumulative repositories must be able to validate prior-wave evidence after advancing,REQ-705,ADR-320,W21-W25
CHANGE-115,W23,W23 could clear performance budgets during repository execution,Implement benchmark harness now but block THR-011/012 and TASK-163 until representative run on declared target hardware,Current execution host is Linux with ~6 GiB RAM and no RTX 5060; AC-038 explicitly requires target hardware,REQ-733;REQ-736,ADR-340,W24-W25
CHANGE-116,W23,Production hardening might imply external operations services,Use service-light local observability/backup/security primitives and optional GitHub-hosted analysis only,Single-host workload and simplicity rule do not justify Docker/Kubernetes/Redis/PostgreSQL/external telemetry,REQ-730;REQ-731;REQ-732;REQ-734;REQ-735,ADR-336;ADR-337;ADR-338;ADR-339,W24-W25
CHANGE-117,W24,W24 dependency required TASK-163 target-hardware release gate,Execute W24 from completed TASK-162 implementation substrate under explicit user sequencing override while carrying TASK-161/TASK-163/AC-038 unresolved,Latest explicit user instruction directs W24; evidence rules still forbid fabricating target-hardware clearance,REQ-737;REQ-745,ADR-341;ADR-346,W25
CHANGE-118,W24,Historical game outputs relied on completion timestamp for PIT eligibility,Add explicit target_game_id identity rejection before historical-output timestamp eligibility,W24 leakage challenge found a defense-in-depth gap under malformed temporal metadata,REQ-740,ADR-343,W25+
CHANGE-119,W24,SportsDataverse/Open-Meteo W06 source descriptions were sufficient for implementation,Add explicit raw→derived SportsDataverse provenance and precise Open-Meteo access/ensemble uncertainty semantics,Current source-owner documentation materially clarifies provenance/access and exposes a recent ensemble mean/spread lane,REQ-741;REQ-742;REQ-743,ADR-344;ADR-345,W25+
CHANGE-120,W25,Final wave could imply another numbered planning wave for unfinished optional research,End exactly at W25 and transition to CODEX_IMPLEMENTATION_HANDOFF; preserve optional advanced/live work as post-wave backlog,REQ-001 requires exactly 25 waves and optional research does not justify inventing Wave 26,REQ-001;REQ-130,ADR-347;ADR-349,NONE; post-wave implementation only
CHANGE-121,W25,A final cumulative pack might be interpreted as fully production-ready,Freeze component maturity and known-gap registers with AC-038 and empirical-model gaps explicit,Final packaging must not erase validation/data blockers or fabricate performance,REQ-130,ADR-348,NONE; Codex handoff
