task_id,phase_id,epic_id,owner_wave,title,task_type,priority,complexity_class,execution_lane,status,depends_on,requirement_ids,acceptance_control_ids,outputs,mutation_scope,replan_gate,critical_dependency_gate,notes
TASK-064,PHASE-2,EPIC-011,W13,Freeze coaching intelligence interface,GATE,MUST,C5,PROTECTED_GATE,DONE,TASK-063,REQ-076;REQ-077;REQ-232;REQ-233;REQ-426;REQ-431,AC-019;AC-021;AC-055;AC-056;AC-114,coaching interface baseline,,W06_REPLAN,YES,Completed W13 contract/reference scope; no empirical effect winner or numeric bonus implied.
TASK-065,PHASE-2,EPIC-012,W13,Define weather forecast versus observed-weather contracts,DESIGN,MUST,C5,SOLO_WORKTREE,DONE,TASK-018,REQ-043;REQ-232;REQ-233;REQ-432;REQ-460,AC-013;AC-055;AC-056;AC-116,weather snapshot feature contract,,W06_REPLAN,NO,Completed W13 contract/reference scope; no empirical effect winner or numeric bonus implied.
TASK-066,PHASE-2,EPIC-012,W13,Define venue/travel/timezone/rest context contracts,DESIGN,MUST,C4,SOLO_WORKTREE,DONE,TASK-012;TASK-018,REQ-043;REQ-232;REQ-233;REQ-433;REQ-434,AC-013;AC-055;AC-056;AC-116,venue/travel context schema,,W06_REPLAN,NO,Completed W13 contract/reference scope; no empirical effect winner or numeric bonus implied.
TASK-067,PHASE-2,EPIC-012,W13,Define program-resource public/private asymmetric lanes,DESIGN,MUST,C5,SOLO_WORKTREE,DONE,TASK-006,REQ-043;REQ-232;REQ-233;REQ-435;REQ-459,AC-013;AC-055;AC-056;AC-117,resource capacity evidence lanes and missingness policy,,W06_REPLAN,NO,Completed W13 contract/reference scope; no empirical effect winner or numeric bonus implied.
TASK-068,PHASE-2,EPIC-012,W13,Design learned hierarchical home-field/venue effect experiment,EXPERIMENT_DESIGN,MUST,C5,SOLO_WORKTREE,DONE,TASK-066;TASK-035,REQ-043;REQ-232;REQ-233;REQ-437;REQ-438,AC-013;AC-055;AC-056;AC-118,home-field residual experiment specification,,W06_REPLAN,NO,Completed W13 contract/reference scope; no empirical effect winner or numeric bonus implied.
TASK-069,PHASE-2,EPIC-012,W13,Define rivalry/stakes/look-ahead/rule-era context,DESIGN,MUST,C4,SOLO_WORKTREE,DONE,TASK-018,REQ-043;REQ-232;REQ-233;REQ-439,AC-013;AC-055;AC-056;AC-123,game-context effective-dated feature contracts,,W06_REPLAN,NO,Completed W13 contract/reference scope; no empirical effect winner or numeric bonus implied.
TASK-070,PHASE-2,EPIC-012,W13,Freeze context interface and missingness behavior,GATE,MUST,C5,PROTECTED_GATE,DONE,TASK-065;TASK-067;TASK-068;TASK-069,REQ-043;REQ-048;REQ-078;REQ-079;REQ-080;REQ-083;REQ-232;REQ-233,AC-013;AC-019;AC-021;AC-055;AC-056,context interface baseline,,W06_REPLAN,YES,Completed W13 contract/reference scope; no empirical effect winner or numeric bonus implied.
TASK-071,PHASE-2,EPIC-013,W13,Define expected possession/tempo state,DESIGN,MUST,C4,SOLO_WORKTREE,DONE,TASK-029;TASK-035,REQ-081;REQ-232;REQ-233;REQ-442;REQ-443,AC-021;AC-055;AC-056;AC-120,possession/tempo contract,,W06_REPLAN,NO,Completed W13 contract/reference scope; no empirical effect winner or numeric bonus implied.
TASK-072,PHASE-2,EPIC-013,W13,Define field-position and hidden-yard accounting,DESIGN,MUST,C4,SOLO_WORKTREE,DONE,TASK-071,REQ-081;REQ-232;REQ-233;REQ-444,AC-021;AC-055;AC-056;AC-120,field-position value contract,,W06_REPLAN,NO,Completed W13 contract/reference scope; no empirical effect winner or numeric bonus implied.
TASK-073,PHASE-2,EPIC-013,W13,Define kicking/punting/kickoff/return specialist features,DESIGN,MUST,C4,SOLO_WORKTREE,DONE,TASK-072;TASK-065,REQ-081;REQ-232;REQ-233;REQ-445;REQ-446,AC-021;AC-055;AC-056;AC-120,special teams component contracts,,W06_REPLAN,NO,Completed W13 contract/reference scope; no empirical effect winner or numeric bonus implied.
TASK-074,PHASE-2,EPIC-013,W13,Define score-state/garbage-time/leverage policy candidates,EXPERIMENT_DESIGN,MUST,C5,SOLO_WORKTREE,DONE,TASK-029,REQ-081;REQ-232;REQ-233;REQ-447,AC-021;AC-055;AC-056;AC-121,score-state policy candidates,,W06_REPLAN,NO,Completed W13 contract/reference scope; no empirical effect winner or numeric bonus implied.
TASK-075,PHASE-2,EPIC-013,W13,Define penalty/turnover/field-position interactions,EXPERIMENT_DESIGN,MUST,C4,SOLO_WORKTREE,DONE,TASK-072;TASK-074,REQ-081;REQ-232;REQ-233;REQ-448;REQ-449,AC-021;AC-055;AC-056;AC-120;AC-121,mechanics interaction candidates,,W06_REPLAN,NO,Completed W13 contract/reference scope; no empirical effect winner or numeric bonus implied.
TASK-076,PHASE-2,EPIC-013,W13,Freeze mechanics feature interfaces,GATE,MUST,C5,PROTECTED_GATE,DONE,TASK-073;TASK-075,REQ-059;REQ-063;REQ-081;REQ-082;REQ-083;REQ-084;REQ-086;REQ-195;REQ-205;REQ-213;REQ-232;REQ-233,AC-021;AC-055;AC-056,mechanics interface baseline,,W06_REPLAN,YES,Completed W13 contract/reference scope; no empirical effect winner or numeric bonus implied.
TASK-077,PHASE-2,EPIC-014,W13,Define opponent-adjusted efficiency framework,EXPERIMENT_DESIGN,MUST,C5,SOLO_WORKTREE,DONE,TASK-035;TASK-029,REQ-068;REQ-232;REQ-233;REQ-450,AC-021;AC-055;AC-056;AC-122,opponent adjustment candidates,,W06_REPLAN,NO,Completed W13 contract/reference scope; no empirical effect winner or numeric bonus implied.
TASK-078,PHASE-2,EPIC-014,W13,Define style/scheme similarity representation,EXPERIMENT_DESIGN,MUST,C4,SOLO_WORKTREE,DONE,TASK-061;TASK-077,REQ-068;REQ-232;REQ-233;REQ-451,AC-021;AC-055;AC-056;AC-122,style similarity candidates,,W06_REPLAN,NO,Completed W13 contract/reference scope; no empirical effect winner or numeric bonus implied.
TASK-079,PHASE-2,EPIC-014,W13,Define schedule stress/workload/rest/travel aggregates,DESIGN,MUST,C4,SOLO_WORKTREE,DONE,TASK-066;TASK-071,REQ-068;REQ-232;REQ-233;REQ-452,AC-021;AC-055;AC-056;AC-123,schedule stress feature contract,,W06_REPLAN,NO,Completed W13 contract/reference scope; no empirical effect winner or numeric bonus implied.
TASK-080,PHASE-2,EPIC-014,W13,Define previous-opponent and look-ahead context safeguards,DESIGN,MUST,C4,SOLO_WORKTREE,DONE,TASK-079;TASK-018,REQ-068;REQ-232;REQ-233;REQ-453,AC-021;AC-055;AC-056;AC-123,chronological schedule context rules,,W06_REPLAN,NO,Completed W13 contract/reference scope; no empirical effect winner or numeric bonus implied.
TASK-081,PHASE-2,EPIC-014,W13,Evaluate experimental officiating lane eligibility,RESEARCH_GATE,MUST,C4,SOLO_WORKTREE,DONE,TASK-006;TASK-018,REQ-068;REQ-232;REQ-233;REQ-454,AC-021;AC-055;AC-056;AC-124,officiating feasibility decision; pregame assignment semantics evidence,,W06_REPLAN,NO,Completed W13 contract/reference scope; no empirical effect winner or numeric bonus implied.
TASK-082,PHASE-2,EPIC-014,W13,Freeze matchup/context adjustment interfaces,GATE,MUST,C5,PROTECTED_GATE,DONE,TASK-077;TASK-078;TASK-080;TASK-081,REQ-023;REQ-068;REQ-089;REQ-232;REQ-233;REQ-456;REQ-457;REQ-458;REQ-461,AC-021;AC-023;AC-055;AC-056;AC-125;AC-126,matchup adjustment baseline,,W06_REPLAN,YES,Completed W13 contract/reference scope; no empirical effect winner or numeric bonus implied.
TASK-083,PHASE-2,EPIC-015,W19,Implement player/roster/availability starter,IMPLEMENTATION,MUST,C4,SOLO_WORKTREE,DONE,TASK-052;TASK-046,REQ-064;REQ-232;REQ-233,AC-021;AC-055;AC-056,player/availability starter modules,,W06_REPLAN,NO,Completed W20 functional starter; no protected empirical winner implied.
TASK-084,PHASE-2,EPIC-015,W19,Implement transfer/recruiting prior starter,IMPLEMENTATION,MUST,C4,SOLO_WORKTREE,DONE,TASK-058;TASK-046,REQ-064;REQ-232;REQ-233,AC-021;AC-055;AC-056,transfer/recruiting starter modules,,W06_REPLAN,NO,Completed W20 functional starter; no protected empirical winner implied.
TASK-085,PHASE-2,EPIC-015,W19,Implement coaching/context/mechanics starter features,IMPLEMENTATION,MUST,C5,SOLO_WORKTREE,DONE,TASK-064;TASK-070;TASK-076;TASK-082;TASK-046,REQ-064;REQ-232;REQ-233,AC-021;AC-055;AC-056,context/mechanics starter modules,,W06_REPLAN,NO,Completed W20 functional starter; no protected empirical winner implied.
TASK-086,PHASE-2,EPIC-015,W19,Create advanced-state synthetic integration fixtures,INTEGRATION_TEST,MUST,C4,SOLO_WORKTREE,DONE,TASK-083;TASK-084;TASK-085,REQ-064;REQ-232;REQ-233,AC-021;AC-055;AC-056,advanced PIT fixtures,,W06_REPLAN,NO,Completed W20 functional starter; no protected empirical winner implied.
TASK-087,PHASE-2,EPIC-015,W20,Run advanced feature family ablation readiness gate,GATE,MUST,C5,PROTECTED_GATE,DONE,TASK-086;TASK-040,REQ-064;REQ-202;REQ-232;REQ-233,AC-021;AC-036;AC-055;AC-056,advanced intelligence implementation evidence,,W06_REPLAN,YES,Completed W20 functional starter; no protected empirical winner implied.
TASK-088,PHASE-3,EPIC-016,W14,Define A&M high-resolution evidence acquisition/state overlay,DESIGN,MUST,C5,SOLO_WORKTREE,DONE,TASK-058;TASK-064;TASK-070;TASK-076;TASK-082,REQ-099;REQ-232;REQ-233;REQ-462;REQ-463;REQ-464;REQ-468,AC-030;AC-055;AC-056;AC-127;AC-128,A&M high-resolution state contract,,W06_REPLAN,NO,"W13 adaptive repair: W14 architecture now depends on frozen W12/W13 contracts, not future W20 TASK-087 implementation gate. W14 contract/reference task complete; empirical/model selection remains W16/W17 where applicable."
TASK-089,PHASE-3,EPIC-016,W14,Define A&M unit/QB/OL/receiver/depth state,DESIGN,MUST,C5,SOLO_WORKTREE,DONE,TASK-088;TASK-052,REQ-099;REQ-232;REQ-233;REQ-465,AC-030;AC-055;AC-056;AC-129,A&M unit-state contracts,,W06_REPLAN,NO,W14 contract/reference task complete; empirical/model selection remains W16/W17 where applicable.
TASK-090,PHASE-3,EPIC-016,W14,Define A&M regime/staff/availability current-state layer,DESIGN,MUST,C5,SOLO_WORKTREE,DONE,TASK-088;TASK-064,REQ-099;REQ-232;REQ-233;REQ-466;REQ-467,AC-030;AC-055;AC-056;AC-129,A&M regime/availability overlay,,W06_REPLAN,NO,W14 contract/reference task complete; empirical/model selection remains W16/W17 where applicable.
TASK-091,PHASE-3,EPIC-016,W14,Define A&M frequent forecast snapshot schedule candidates,DESIGN,MUST,C3,SOLO_WORKTREE,DONE,TASK-088;TASK-018,REQ-099;REQ-232;REQ-233;REQ-469;REQ-470,AC-030;AC-055;AC-056;AC-130,A&M snapshot cadence proposal,,W06_REPLAN,NO,W14 contract/reference task complete; empirical/model selection remains W16/W17 where applicable.
TASK-092,PHASE-3,EPIC-016,W14,Define A&M peer cohort/analog evidence interface,DESIGN,MUST,C4,SOLO_WORKTREE,DONE,TASK-088;TASK-035,REQ-099;REQ-232;REQ-233;REQ-471;REQ-472;REQ-473,AC-030;AC-055;AC-056;AC-131;AC-132,peer/analog contract,,W06_REPLAN,NO,W14 contract/reference task complete; empirical/model selection remains W16/W17 where applicable.
TASK-093,PHASE-3,EPIC-016,W14,Freeze A&M state interface,GATE,MUST,C5,PROTECTED_GATE,DONE,TASK-089;TASK-090;TASK-091;TASK-092,REQ-099;REQ-100;REQ-232;REQ-233;REQ-465;REQ-466;REQ-467;REQ-468,AC-030;AC-047;AC-055;AC-056;AC-129,A&M team-state baseline,,W06_REPLAN,YES,W14 contract/reference task complete; empirical/model selection remains W16/W17 where applicable.
TASK-094,PHASE-3,EPIC-017,W14,Define specialization input/output semantic contract,DESIGN,MUST,C5,SOLO_WORKTREE,DONE,TASK-093,REQ-160;REQ-232;REQ-233;REQ-474;REQ-476;REQ-491,AC-030;AC-055;AC-056;AC-133,national→A&M specialization interface,,W06_REPLAN,NO,W14 contract/reference task complete; empirical/model selection remains W16/W17 where applicable. W16 sequencing repair: removed stale future W17 TASK-040 dependency; specialization semantic contract precedes empirical baseline bar.
TASK-095,PHASE-3,EPIC-017,W14,Design residual-adapter challenger,EXPERIMENT_DESIGN,MUST,C4,SOLO_WORKTREE,DONE,TASK-094,REQ-160;REQ-232;REQ-233;REQ-477,AC-030;AC-055;AC-056;AC-135,residual specialization candidate,,W06_REPLAN,NO,W14 contract/reference task complete; empirical/model selection remains W16/W17 where applicable.
TASK-096,PHASE-3,EPIC-017,W14,Design hierarchical/multi-task specialization challengers,EXPERIMENT_DESIGN,MUST,C5,SOLO_WORKTREE,DONE,TASK-094,REQ-160;REQ-232;REQ-233;REQ-478;REQ-479,AC-030;AC-055;AC-056;AC-135,hierarchical/multi-task candidates,,W06_REPLAN,NO,W14 contract/reference task complete; empirical/model selection remains W16/W17 where applicable.
TASK-097,PHASE-3,EPIC-017,W14,Define shrinkage/no-adjustment fallback and overfit guard,VALIDATION_DESIGN,MUST,C5,PROTECTED_GATE,DONE,TASK-095;TASK-096,REQ-160;REQ-232;REQ-233;REQ-475;REQ-480;REQ-481;REQ-482;REQ-487;REQ-489;REQ-490,AC-030;AC-055;AC-056;AC-134;AC-135;AC-137,specialization overfit safeguards,,W06_REPLAN,NO,W14 contract/reference task complete; empirical/model selection remains W16/W17 where applicable.
TASK-098,PHASE-3,EPIC-017,W14,Define A&M-specific evaluation weighting/subgroups,VALIDATION_DESIGN,MUST,C4,SOLO_WORKTREE,DONE,TASK-094,REQ-160;REQ-232;REQ-233;REQ-483;REQ-484;REQ-485;REQ-486,AC-030;AC-055;AC-056;AC-136,A&M evaluation slice contract,,W06_REPLAN,NO,W14 contract/reference task complete; empirical/model selection remains W16/W17 where applicable.
TASK-099,PHASE-3,EPIC-017,W14,Freeze specialization candidates for W16/W17 comparison,GATE,MUST,C5,PROTECTED_GATE,DONE,TASK-097;TASK-098,REQ-021;REQ-022;REQ-025;REQ-026;REQ-027;REQ-028;REQ-050;REQ-099;REQ-100;REQ-101;REQ-102;REQ-160;REQ-161;REQ-162;REQ-232;REQ-233;REQ-488;REQ-492;REQ-493,AC-030;AC-047;AC-055;AC-056;AC-138,specialization candidate baseline,,W06_REPLAN,YES,W14 contract/reference task complete; empirical/model selection remains W16/W17 where applicable.
TASK-100,PHASE-3,EPIC-018,W15,Implement/verify primary BAS residual definition contract,DESIGN,MUST,C5,SOLO_WORKTREE,DONE,TASK-099,REQ-034;REQ-232;REQ-233;REQ-494;REQ-495,AC-028;AC-055;AC-056;AC-139,BAS residual/threshold contract,,W06_REPLAN,NO,W15 scientific BAS contract/reference task complete; protected empirical significance/calibration/component selection remains W17.
TASK-101,PHASE-3,EPIC-018,W15,Design cross-fitted expected-margin label generator,DESIGN_IMPLEMENTATION,MUST,C5,PROTECTED_GATE,DONE,TASK-100;TASK-018,REQ-034;REQ-232;REQ-233;REQ-497;REQ-498;REQ-499;REQ-500;REQ-501;REQ-502;REQ-527,AC-028;AC-055;AC-056;AC-140;AC-141;AC-142;AC-151,cross-fit label-generation contract,,W06_REPLAN,NO,W15 scientific BAS contract/reference task complete; protected empirical significance/calibration/component selection remains W17.
TASK-102,PHASE-3,EPIC-018,W15,Define ≥3/7/14/21 severity label production,IMPLEMENTATION,MUST,C4,SOLO_WORKTREE,DONE,TASK-101,REQ-034;REQ-232;REQ-233;REQ-495;REQ-496,AC-028;AC-055;AC-056;AC-139,BAS severity label interface,,W06_REPLAN,NO,W15 scientific BAS contract/reference task complete; protected empirical significance/calibration/component selection remains W17.
TASK-103,PHASE-3,EPIC-018,W15,Build anti-circularity/leakage tests for BAS labels,VALIDATION,MUST,C5,PROTECTED_GATE,DONE,TASK-101;TASK-102,REQ-034;REQ-232;REQ-233;REQ-499;REQ-501;REQ-502;REQ-525,AC-028;AC-055;AC-056;AC-140;AC-142;AC-146,BAS protected test battery,,W06_REPLAN,NO,W15 scientific BAS contract/reference task complete; protected empirical significance/calibration/component selection remains W17.
TASK-104,PHASE-3,EPIC-018,W15,Freeze BAS labeling contract,GATE,MUST,C5,PROTECTED_GATE,DONE,TASK-103,REQ-034;REQ-095;REQ-096;REQ-097;REQ-103;REQ-104;REQ-105;REQ-164;REQ-232;REQ-233;REQ-500;REQ-503;REQ-504;REQ-526,AC-028;AC-029;AC-055;AC-056;AC-141;AC-150;AC-151;AC-139;AC-140;AC-142,accepted BAS label baseline,,W06_REPLAN,YES,W15 scientific BAS contract/reference task complete; protected empirical significance/calibration/component selection remains W17.
TASK-105,PHASE-3,EPIC-019,W15,Define general FBS underperformance baseline comparison,EXPERIMENT_DESIGN,MUST,C4,SOLO_WORKTREE,DONE,TASK-104,REQ-097;REQ-232;REQ-233;REQ-505;REQ-506,AC-029;AC-055;AC-056;AC-143,general underperformance benchmark,,W06_REPLAN,NO,W15 scientific BAS contract/reference task complete; protected empirical significance/calibration/component selection remains W17.
TASK-106,PHASE-3,EPIC-019,W15,Define Aggie Excess and peer-cohort significance tests,EXPERIMENT_DESIGN,MUST,C5,SOLO_WORKTREE,DONE,TASK-105;TASK-092,REQ-097;REQ-232;REQ-233;REQ-507;REQ-508;REQ-509;REQ-523;REQ-524,AC-029;AC-055;AC-056;AC-144;AC-145;AC-142;AC-148,Aggie Excess test plan,,W06_REPLAN,NO,W15 scientific BAS contract/reference task complete; protected empirical significance/calibration/component selection remains W17.
TASK-107,PHASE-3,EPIC-019,W15,Define offensive/defensive/ST/coaching/collapse candidate decompositions,EXPERIMENT_DESIGN,MUST,C4,SOLO_WORKTREE,DONE,TASK-104,REQ-097;REQ-232;REQ-233;REQ-514;REQ-515;REQ-516;REQ-517;REQ-518;REQ-519;REQ-520;REQ-525,AC-029;AC-055;AC-056;AC-146;AC-147;AC-142,BAS component candidate registry,,W06_REPLAN,NO,W15 scientific BAS contract/reference task complete; protected empirical significance/calibration/component selection remains W17.
TASK-108,PHASE-3,EPIC-019,W15,Define regime/stability/calibration validation,VALIDATION_DESIGN,MUST,C5,PROTECTED_GATE,DONE,TASK-106;TASK-107,REQ-097;REQ-232;REQ-233;REQ-509;REQ-510;REQ-511;REQ-512;REQ-513;REQ-521;REQ-522;REQ-523;REQ-524;REQ-526,AC-029;AC-055;AC-056;AC-145;AC-148;AC-150;AC-149;AC-142;AC-144,BAS stability/calibration plan,,W06_REPLAN,NO,W15 scientific BAS contract/reference task complete; protected empirical significance/calibration/component selection remains W17.
TASK-109,PHASE-3,EPIC-019,W17,Freeze protected BAS scientific evaluation protocol,VALIDATION_DESIGN,MUST,C5,PROTECTED_GATE,DONE,TASK-108;TASK-128;TASK-129,REQ-097;REQ-232;REQ-233;REQ-507;REQ-510;REQ-511;REQ-512;REQ-513;REQ-582;REQ-594;REQ-595,AC-029;AC-055;AC-056;AC-144;AC-148;AC-150;AC-172,BAS significance/stability/calibration/multiplicity evaluation protocol,,W06_REPLAN,NO,No empirical BAS effect required before real materialized data/model artifacts.
TASK-110,PHASE-3,EPIC-019,W17,Freeze BAS component promotion/rejection decision rule,GATE,MUST,C5,PROTECTED_GATE,DONE,TASK-109,REQ-095;REQ-096;REQ-097;REQ-098;REQ-103;REQ-104;REQ-105;REQ-164;REQ-232;REQ-233;REQ-514;REQ-524;REQ-594;REQ-595,AC-022;AC-029;AC-055;AC-056;AC-146;AC-144;AC-172,precommitted BAS component decision rule; no-excess/reject/inconclusive outcomes preserved,,W06_REPLAN,YES,
TASK-111,PHASE-3,EPIC-020,W20,Implement A&M high-resolution state adapter starter,IMPLEMENTATION,MUST,C4,SOLO_WORKTREE,DONE,TASK-093;TASK-046,REQ-025;REQ-232;REQ-233,AC-028;AC-055;AC-056,A&M state adapter,,W06_REPLAN,NO,Completed W20 functional starter; no protected empirical winner implied.
TASK-112,PHASE-3,EPIC-020,W20,Implement approved specialization candidate starter,IMPLEMENTATION,MUST,C5,SOLO_WORKTREE,DONE,TASK-099;TASK-111,REQ-025;REQ-232;REQ-233,AC-028;AC-055;AC-056,A&M specialization model adapter,,W06_REPLAN,NO,Completed W20 functional starter; no protected empirical winner implied.
TASK-113,PHASE-3,EPIC-020,W20,Implement BAS label/model interface starter,IMPLEMENTATION,MUST,C5,SOLO_WORKTREE,DONE,TASK-104,REQ-025;REQ-232;REQ-233,AC-028;AC-055;AC-056,BAS interface,,W06_REPLAN,NO,Completed W20 functional starter; no protected empirical winner implied.
TASK-114,PHASE-3,EPIC-020,W20,Integrate A&M/BAS output into forecast snapshot contract,INTEGRATION,MUST,C5,SOLO_WORKTREE,DONE,TASK-112;TASK-113,REQ-025;REQ-232;REQ-233,AC-028;AC-055;AC-056,A&M/BAS snapshot fields + lineage,,W06_REPLAN,NO,Completed W20 functional starter; no protected empirical winner implied.
TASK-115,PHASE-3,EPIC-020,W20,Pass A&M/BAS starter integration gate,GATE,MUST,C5,PROTECTED_GATE,DONE,TASK-114;TASK-110,REQ-025;REQ-034;REQ-232;REQ-233,AC-028;AC-030;AC-033;AC-055;AC-056,validated A&M/BAS starter,,W06_REPLAN,YES,Completed W20 functional starter; no protected empirical winner implied.
TASK-116,PHASE-4,EPIC-021,W16,Freeze model target schemas and label semantics,DESIGN,MUST,C5,SHARED_CONTRACT,DONE,TASK-099;TASK-104,REQ-026;REQ-232;REQ-233;REQ-503;REQ-521;REQ-522;REQ-527;REQ-528,AC-026;AC-055;AC-056;AC-150;AC-151;AC-149,target contract,,W06_REPLAN,NO,W15 dependency inversion repaired; W16 model-target contract may start without future W17 TASK-040.
TASK-117,PHASE-4,EPIC-021,W16,Compare joint-score/margin statistical families,EXPERIMENT_DESIGN,MUST,C5,SOLO_WORKTREE,DONE,TASK-116,REQ-026;REQ-232;REQ-233,AC-026;AC-055;AC-056,joint-distribution candidate report,,W06_REPLAN,NO,W16 completed at contract/reference maturity; no empirical performance claim.
TASK-118,PHASE-4,EPIC-021,W16,Define coherent win/score/margin derivation contract,DESIGN,MUST,C5,SOLO_WORKTREE,DONE,TASK-117,REQ-026;REQ-232;REQ-233,AC-026;AC-055;AC-056,forecast distribution interface,,W06_REPLAN,NO,W16 completed at contract/reference maturity; no empirical performance claim.
TASK-119,PHASE-4,EPIC-021,W16,Define Monte Carlo/scenario engine interfaces,DESIGN,MUST,C4,SOLO_WORKTREE,DONE,TASK-118;TASK-052;TASK-070,REQ-026;REQ-232;REQ-233,AC-026;AC-055;AC-056,simulation/scenario contract,,W06_REPLAN,NO,W16 completed at contract/reference maturity; no empirical performance claim.
TASK-120,PHASE-4,EPIC-021,W16,Define player/weather scenario propagation,DESIGN,MUST,C4,SOLO_WORKTREE,DONE,TASK-119,REQ-026;REQ-232;REQ-233,AC-026;AC-055;AC-056,scenario perturbation contract,,W06_REPLAN,NO,W16 completed at contract/reference maturity; no empirical performance claim.
TASK-121,PHASE-4,EPIC-021,W16,Freeze model/joint-score architecture candidates,GATE,MUST,C5,PROTECTED_GATE,DONE,TASK-118;TASK-120,REQ-026;REQ-027;REQ-029;REQ-090;REQ-092;REQ-093;REQ-094;REQ-106;REQ-107;REQ-108;REQ-109;REQ-110;REQ-136;REQ-148;REQ-157;REQ-163;REQ-174;REQ-190;REQ-193;REQ-232;REQ-233,AC-007;AC-018;AC-023;AC-026;AC-027;AC-044;AC-055;AC-056,model architecture baseline,,W06_REPLAN,YES,W16 completed at contract/reference maturity; no empirical performance claim.
TASK-122,PHASE-4,EPIC-022,W16,Define epistemic/aleatoric/data uncertainty interface,DESIGN,MUST,C4,SOLO_WORKTREE,DONE,TASK-121,REQ-030;REQ-232;REQ-233,AC-014;AC-055;AC-056,uncertainty contract,,W06_REPLAN,NO,W16 completed at contract/reference maturity; no empirical performance claim.
TASK-123,PHASE-4,EPIC-022,W16,Define OOD/model-disagreement detection candidates,EXPERIMENT_DESIGN,MUST,C4,SOLO_WORKTREE,DONE,TASK-122,REQ-030;REQ-232;REQ-233,AC-014;AC-055;AC-056,OOD/disagreement candidate registry,,W06_REPLAN,NO,W16 completed at contract/reference maturity; no empirical performance claim.
TASK-124,PHASE-4,EPIC-022,W16,Define pure-football forecast lane,DESIGN,MUST,C3,SOLO_WORKTREE,DONE,TASK-121,REQ-030;REQ-232;REQ-233,AC-014;AC-055;AC-056,market-independent prediction path,,W06_REPLAN,NO,W16 completed at contract/reference maturity; no empirical performance claim.
TASK-125,PHASE-4,EPIC-022,W16,Define timestamp-safe market-augmented lane,DESIGN,MUST,C5,SOLO_WORKTREE,DONE,TASK-121;TASK-015,REQ-030;REQ-232;REQ-233,AC-014;AC-055;AC-056,market-augmented path with observation cutoffs,,W06_REPLAN,NO,W16 completed at contract/reference maturity; no empirical performance claim.
TASK-126,PHASE-4,EPIC-022,W17,Freeze uncertainty/OOD/market protected benchmark protocol,VALIDATION_DESIGN,MUST,C5,PROTECTED_GATE,DONE,TASK-123;TASK-124;TASK-125;TASK-128;TASK-129,REQ-030;REQ-232;REQ-233;REQ-597;REQ-598;REQ-599;REQ-600,AC-014;AC-055;AC-056;AC-174,uncertainty/OOD/disagreement/market benchmark protocol; no empirical result required,,W06_REPLAN,NO,W17 protocol task; actual evidence requires materialized model/data artifacts.
TASK-127,PHASE-4,EPIC-022,W17,Freeze uncertainty/market promotion and warning decision rules,GATE,MUST,C5,PROTECTED_GATE,DONE,TASK-126,REQ-030;REQ-093;REQ-094;REQ-165;REQ-232;REQ-233;REQ-597;REQ-598;REQ-599,AC-014;AC-027;AC-055;AC-056;AC-174,precommitted uncertainty/OOD/disagreement/market warning/promotion decision rules,,W06_REPLAN,YES,
TASK-128,PHASE-4,EPIC-023,W17,Freeze walk-forward/protected-period split specification,VALIDATION_DESIGN,MUST,C5,PROTECTED_GATE,DONE,TASK-121,REQ-060;REQ-232;REQ-233;REQ-569;REQ-570;REQ-571;REQ-572;REQ-573;REQ-574;REQ-575;REQ-576,AC-023;AC-055;AC-056;AC-163;AC-164;AC-165,sealed protected split registry; 2024-2025 holdout; 2026+ forward shadow,,W06_REPLAN,NO,
TASK-129,PHASE-4,EPIC-023,W17,Implement proper scoring/calibration/error metrics,IMPLEMENTATION,MUST,C4,SOLO_WORKTREE,DONE,TASK-128,REQ-060;REQ-232;REQ-233;REQ-577;REQ-578;REQ-579;REQ-580;REQ-581;REQ-588,AC-023;AC-055;AC-056;AC-166;AC-168,proper scoring/calibration/error metric registry plus dependency-light reference metrics,,W06_REPLAN,NO,
TASK-130,PHASE-4,EPIC-023,W17,Define subgroup/A&M/early-season/injury/travel scorecards,VALIDATION_DESIGN,MUST,C4,SOLO_WORKTREE,DONE,TASK-128,REQ-060;REQ-232;REQ-233;REQ-583;REQ-584;REQ-585;REQ-586,AC-023;AC-055;AC-056;AC-167,predeclared national/A&M/subgroup evaluation scorecard registry,,W06_REPLAN,NO,
TASK-131,PHASE-4,EPIC-023,W17,Freeze evidence-backed promotion threshold methodology,GOVERNANCE,MUST,C5,SHARED_CONTRACT,DONE,TASK-129;TASK-130;TASK-040,REQ-060;REQ-232;REQ-233;REQ-589;REQ-590;REQ-586,AC-023;AC-055;AC-056;AC-169,threshold precommitment registry; THR-001..007/014/015 numeric values remain blank pending development evidence,,W06_REPLAN,NO,W17 freezes derivation methods before protected results; protected holdout may not set/relax values.
TASK-132,PHASE-4,EPIC-023,W17,Implement fail-closed champion/challenger decision gate contract,IMPLEMENTATION,MUST,C5,PROTECTED_GATE,DONE,TASK-131,REQ-060;REQ-232;REQ-233;REQ-591;REQ-592;REQ-593;REQ-601,AC-023;AC-055;AC-056;AC-170;AC-175,reference promotion evaluator; immutable decision-state contract; blank required threshold blocks,,W06_REPLAN,NO,Reference/governance implementation only; no trained candidate is promoted in W17.
