risk_id,acceptance_control_ids,status,notes
RISK-296,AC-224,MITIGATED_REFERENCE_W18,Residual empirical/operational risk remains for later materialized execution.
RISK-297,AC-225,MITIGATED_REFERENCE_W18,Residual empirical/operational risk remains for later materialized execution.
RISK-298,AC-226,MITIGATED_REFERENCE_W18,Residual empirical/operational risk remains for later materialized execution.
RISK-299,AC-227,MITIGATED_REFERENCE_W18,Residual empirical/operational risk remains for later materialized execution.
RISK-300,AC-228,MITIGATED_REFERENCE_W18,Residual empirical/operational risk remains for later materialized execution.
RISK-301,AC-037,MITIGATED_REFERENCE_W22,Functional starter proves visible unassessed/stale states; production SLA remains W23 operations evidence.
RISK-302,AC-046,MITIGATED_REFERENCE_W22,W22 import-boundary and service tests prevent request-path access to modeling/data internals.
RISK-303,AC-033;AC-046,MITIGATED_REFERENCE_W22,W21-style v1 payload remains readable by W22 repository parser.
RISK-304,AC-041;AC-055,MITIGATED_REFERENCE_W23,Exact pins/policy/hosted security workflows reduce dependency drift; hosted findings remain future evidence.
RISK-305,AC-004;AC-042,MITIGATED_REFERENCE_W23,Structured redaction tests plus repository secret scan.
RISK-306,AC-039;AC-040,MITIGATED_REFERENCE_W23,Backup tamper/path/restore tests.
RISK-307,AC-038;AC-055;AC-056,OPEN_BLOCKER_W23,Current benchmark is explicitly non-target and cannot clear release blocker.
RISK-308,AC-233;AC-234;AC-038,OPEN_CARRIED_W25,W24 scope can complete but target-hardware readiness remains unresolved.
RISK-309,AC-231;AC-009;AC-010,MITIGATED_REFERENCE_W24,Source refresh explicitly marks independent_corroboration=NO.
RISK-310,AC-231;AC-020,MITIGATED_POLICY_W24,Ensemble mean remains research-only/optional pending evidence.
