redundancy_id,level,basis,domain_or_name,members,overlap_type,decision,semantic_merge_allowed,notes
RFRED-1080,RAW_FIELD_NAME_OVERLAP,W09_EXACT_NAME_CLUSTER,ranking,RF-001011;RF-001068,NAME_OVERLAP_REVIEW_REQUIRED,"Do not merge by name; compare grain, source semantics, temporal class, units and canonical join path.",false,"2 fields across 1 source(s), 2 dataset/model(s)."
RFRED-1081,RAW_FIELD_NAME_OVERLAP,W09_EXACT_NAME_CLUSTER,rating,RF-001004;RF-001019;RF-001067,NAME_OVERLAP_REVIEW_REQUIRED,"Do not merge by name; compare grain, source semantics, temporal class, units and canonical join path.",false,"3 fields across 1 source(s), 3 dataset/model(s)."
RFRED-1082,RAW_FIELD_NAME_OVERLAP,W09_EXACT_NAME_CLUSTER,receiver_player_name,RF-000243;RF-000576;RF-000719,NAME_OVERLAP_REVIEW_REQUIRED,"Do not merge by name; compare grain, source semantics, temporal class, units and canonical join path.",false,"3 fields across 1 source(s), 3 dataset/model(s)."
RFRED-1083,RAW_FIELD_NAME_OVERLAP,W09_EXACT_NAME_CLUSTER,rush_epa,RF-000373;RF-000554,NAME_OVERLAP_REVIEW_REQUIRED,"Do not merge by name; compare grain, source semantics, temporal class, units and canonical join path.",false,"2 fields across 1 source(s), 2 dataset/model(s)."
RFRED-1084,RAW_FIELD_NAME_OVERLAP,W09_EXACT_NAME_CLUSTER,rush_td,RF-000212;RF-000565,NAME_OVERLAP_REVIEW_REQUIRED,"Do not merge by name; compare grain, source semantics, temporal class, units and canonical join path.",false,"2 fields across 1 source(s), 2 dataset/model(s)."
RFRED-1085,RAW_FIELD_NAME_OVERLAP,W09_EXACT_NAME_CLUSTER,rusher_player_name,RF-000242;RF-000562;RF-000715,NAME_OVERLAP_REVIEW_REQUIRED,"Do not merge by name; compare grain, source semantics, temporal class, units and canonical join path.",false,"3 fields across 1 source(s), 3 dataset/model(s)."
RFRED-1086,RAW_FIELD_NAME_OVERLAP,W09_EXACT_NAME_CLUSTER,rushing_attempts,RF-000395;RF-000415,NAME_OVERLAP_REVIEW_REQUIRED,"Do not merge by name; compare grain, source semantics, temporal class, units and canonical join path.",false,"2 fields across 1 source(s), 2 dataset/model(s)."
RFRED-1087,RAW_FIELD_NAME_OVERLAP,W09_EXACT_NAME_CLUSTER,rushing_yards,RF-000394;RF-000416,NAME_OVERLAP_REVIEW_REQUIRED,"Do not merge by name; compare grain, source semantics, temporal class, units and canonical join path.",false,"2 fields across 1 source(s), 2 dataset/model(s)."
RFRED-1088,RAW_FIELD_NAME_OVERLAP,W09_EXACT_NAME_CLUSTER,sack_epa,RF-000371;RF-000552,NAME_OVERLAP_REVIEW_REQUIRED,"Do not merge by name; compare grain, source semantics, temporal class, units and canonical join path.",false,"2 fields across 1 source(s), 2 dataset/model(s)."
RFRED-1089,RAW_FIELD_NAME_OVERLAP,W09_EXACT_NAME_CLUSTER,sacks,RF-000430;RF-000604,NAME_OVERLAP_REVIEW_REQUIRED,"Do not merge by name; compare grain, source semantics, temporal class, units and canonical join path.",false,"2 fields across 1 source(s), 2 dataset/model(s)."
RFRED-1090,RAW_FIELD_NAME_OVERLAP,W09_EXACT_NAME_CLUSTER,school,RF-001013;RF-001108;RF-001123,NAME_OVERLAP_REVIEW_REQUIRED,"Do not merge by name; compare grain, source semantics, temporal class, units and canonical join path.",false,"3 fields across 1 source(s), 3 dataset/model(s)."
RFRED-1091,RAW_FIELD_NAME_OVERLAP,W09_EXACT_NAME_CLUSTER,scrimmage_plays,RF-000499;RF-000592,NAME_OVERLAP_REVIEW_REQUIRED,"Do not merge by name; compare grain, source semantics, temporal class, units and canonical join path.",false,"2 fields across 1 source(s), 2 dataset/model(s)."
RFRED-1092,RAW_FIELD_NAME_OVERLAP,W09_EXACT_NAME_CLUSTER,season,RF-000066;RF-000382;RF-000403;RF-000459;RF-000536;RF-000559;RF-000574;RF-000589;RF-000621;RF-000624;RF-000634;RF-000707;RF-000775;RF-000778;RF-000848;RF-000857;RF-000894;RF-000896;RF-000927;RF-000930;RF-000982;RF-000997;RF-001028;RF-001037;RF-001081,NAME_OVERLAP_REVIEW_REQUIRED,"Do not merge by name; compare grain, source semantics, temporal class, units and canonical join path.",false,"25 fields across 2 source(s), 25 dataset/model(s)."
RFRED-1093,RAW_FIELD_NAME_OVERLAP,W09_EXACT_NAME_CLUSTER,seasontype,RF-000067;RF-000932;RF-001029;RF-001038;RF-001083,NAME_OVERLAP_REVIEW_REQUIRED,"Do not merge by name; compare grain, source semantics, temporal class, units and canonical join path.",false,"5 fields across 2 source(s), 5 dataset/model(s)."
RFRED-1094,RAW_FIELD_NAME_OVERLAP,W09_EXACT_NAME_CLUSTER,second_level_yards,RF-000273;RF-000533,NAME_OVERLAP_REVIEW_REQUIRED,"Do not merge by name; compare grain, source semantics, temporal class, units and canonical join path.",false,"2 fields across 1 source(s), 2 dataset/model(s)."
RFRED-1095,RAW_FIELD_NAME_OVERLAP,W09_EXACT_NAME_CLUSTER,snowfall,RF-001096;RF-001161,NAME_OVERLAP_REVIEW_REQUIRED,"Do not merge by name; compare grain, source semantics, temporal class, units and canonical join path.",false,"2 fields across 2 source(s), 2 dataset/model(s)."
RFRED-1096,RAW_FIELD_NAME_OVERLAP,W09_EXACT_NAME_CLUSTER,spread,RF-000556;RF-001034;RF-001053,NAME_OVERLAP_REVIEW_REQUIRED,"Do not merge by name; compare grain, source semantics, temporal class, units and canonical join path.",false,"3 fields across 2 source(s), 3 dataset/model(s)."
RFRED-1097,RAW_FIELD_NAME_OVERLAP,W09_EXACT_NAME_CLUSTER,sr,RF-000549;RF-000570;RF-000585,NAME_OVERLAP_REVIEW_REQUIRED,"Do not merge by name; compare grain, source semantics, temporal class, units and canonical join path.",false,"3 fields across 1 source(s), 3 dataset/model(s)."
RFRED-1098,RAW_FIELD_NAME_OVERLAP,W09_EXACT_NAME_CLUSTER,stars,RF-001005;RF-001018,NAME_OVERLAP_REVIEW_REQUIRED,"Do not merge by name; compare grain, source semantics, temporal class, units and canonical join path.",false,"2 fields across 1 source(s), 2 dataset/model(s)."
RFRED-1099,RAW_FIELD_NAME_OVERLAP,W09_EXACT_NAME_CLUSTER,startdate,RF-000933;RF-001040,NAME_OVERLAP_REVIEW_REQUIRED,"Do not merge by name; compare grain, source semantics, temporal class, units and canonical join path.",false,"2 fields across 1 source(s), 2 dataset/model(s)."
RFRED-1100,RAW_FIELD_NAME_OVERLAP,W09_EXACT_NAME_CLUSTER,status_type_completed,RF-000069;RF-000882,NAME_OVERLAP_REVIEW_REQUIRED,"Do not merge by name; compare grain, source semantics, temporal class, units and canonical join path.",false,"2 fields across 1 source(s), 2 dataset/model(s)."
RFRED-1101,RAW_FIELD_NAME_OVERLAP,W09_EXACT_NAME_CLUSTER,team,RF-000764;RF-000966;RF-000980;RF-000983;RF-001026;RF-001061;RF-001065;RF-001075,NAME_OVERLAP_REVIEW_REQUIRED,"Do not merge by name; compare grain, source semantics, temporal class, units and canonical join path.",false,"8 fields across 2 source(s), 8 dataset/model(s)."
RFRED-1102,RAW_FIELD_NAME_OVERLAP,W09_EXACT_NAME_CLUSTER,team_abbreviation,RF-000839;RF-000899,NAME_OVERLAP_REVIEW_REQUIRED,"Do not merge by name; compare grain, source semantics, temporal class, units and canonical join path.",false,"2 fields across 1 source(s), 2 dataset/model(s)."
RFRED-1103,RAW_FIELD_NAME_OVERLAP,W09_EXACT_NAME_CLUSTER,team_alternate_color,RF-000843;RF-000905,NAME_OVERLAP_REVIEW_REQUIRED,"Do not merge by name; compare grain, source semantics, temporal class, units and canonical join path.",false,"2 fields across 1 source(s), 2 dataset/model(s)."
RFRED-1104,RAW_FIELD_NAME_OVERLAP,W09_EXACT_NAME_CLUSTER,team_color,RF-000842;RF-000904,NAME_OVERLAP_REVIEW_REQUIRED,"Do not merge by name; compare grain, source semantics, temporal class, units and canonical join path.",false,"2 fields across 1 source(s), 2 dataset/model(s)."
RFRED-1105,RAW_FIELD_NAME_OVERLAP,W09_EXACT_NAME_CLUSTER,team_display_name,RF-000385;RF-000840;RF-000901,NAME_OVERLAP_REVIEW_REQUIRED,"Do not merge by name; compare grain, source semantics, temporal class, units and canonical join path.",false,"3 fields across 1 source(s), 3 dataset/model(s)."
RFRED-1106,RAW_FIELD_NAME_OVERLAP,W09_EXACT_NAME_CLUSTER,team_id,RF-000384;RF-000405;RF-000832;RF-000890;RF-000897;RF-000917,NAME_OVERLAP_REVIEW_REQUIRED,"Do not merge by name; compare grain, source semantics, temporal class, units and canonical join path.",false,"6 fields across 1 source(s), 6 dataset/model(s)."
RFRED-1107,RAW_FIELD_NAME_OVERLAP,W09_EXACT_NAME_CLUSTER,team_location,RF-000836;RF-000900,NAME_OVERLAP_REVIEW_REQUIRED,"Do not merge by name; compare grain, source semantics, temporal class, units and canonical join path.",false,"2 fields across 1 source(s), 2 dataset/model(s)."
RFRED-1108,RAW_FIELD_NAME_OVERLAP,W09_EXACT_NAME_CLUSTER,team_name,RF-000837;RF-000898,NAME_OVERLAP_REVIEW_REQUIRED,"Do not merge by name; compare grain, source semantics, temporal class, units and canonical join path.",false,"2 fields across 1 source(s), 2 dataset/model(s)."
RFRED-1109,RAW_FIELD_NAME_OVERLAP,W09_EXACT_NAME_CLUSTER,team_nickname,RF-000838;RF-000903,NAME_OVERLAP_REVIEW_REQUIRED,"Do not merge by name; compare grain, source semantics, temporal class, units and canonical join path.",false,"2 fields across 1 source(s), 2 dataset/model(s)."
RFRED-1110,RAW_FIELD_NAME_OVERLAP,W09_EXACT_NAME_CLUSTER,team_short_display_name,RF-000841;RF-000902,NAME_OVERLAP_REVIEW_REQUIRED,"Do not merge by name; compare grain, source semantics, temporal class, units and canonical join path.",false,"2 fields across 1 source(s), 2 dataset/model(s)."
RFRED-1111,RAW_FIELD_NAME_OVERLAP,W09_EXACT_NAME_CLUSTER,tfl,RF-000289;RF-000593,NAME_OVERLAP_REVIEW_REQUIRED,"Do not merge by name; compare grain, source semantics, temporal class, units and canonical join path.",false,"2 fields across 1 source(s), 2 dataset/model(s)."
RFRED-1112,RAW_FIELD_NAME_OVERLAP,W09_EXACT_NAME_CLUSTER,tfl_pass,RF-000290;RF-000594,NAME_OVERLAP_REVIEW_REQUIRED,"Do not merge by name; compare grain, source semantics, temporal class, units and canonical join path.",false,"2 fields across 1 source(s), 2 dataset/model(s)."
RFRED-1113,RAW_FIELD_NAME_OVERLAP,W09_EXACT_NAME_CLUSTER,tfl_rush,RF-000291;RF-000595,NAME_OVERLAP_REVIEW_REQUIRED,"Do not merge by name; compare grain, source semantics, temporal class, units and canonical join path.",false,"2 fields across 1 source(s), 2 dataset/model(s)."
RFRED-1114,RAW_FIELD_NAME_OVERLAP,W09_EXACT_NAME_CLUSTER,timezone,RF-001141;RF-001152,NAME_OVERLAP_REVIEW_REQUIRED,"Do not merge by name; compare grain, source semantics, temporal class, units and canonical join path.",false,"2 fields across 2 source(s), 2 dataset/model(s)."
RFRED-1115,RAW_FIELD_NAME_OVERLAP,W09_EXACT_NAME_CLUSTER,total_yards,RF-000390;RF-000512,NAME_OVERLAP_REVIEW_REQUIRED,"Do not merge by name; compare grain, source semantics, temporal class, units and canonical join path.",false,"2 fields across 1 source(s), 2 dataset/model(s)."
RFRED-1116,RAW_FIELD_NAME_OVERLAP,W09_EXACT_NAME_CLUSTER,turnovers,RF-000398;RF-000617,NAME_OVERLAP_REVIEW_REQUIRED,"Do not merge by name; compare grain, source semantics, temporal class, units and canonical join path.",false,"2 fields across 1 source(s), 2 dataset/model(s)."
RFRED-1117,RAW_FIELD_NAME_OVERLAP,W09_EXACT_NAME_CLUSTER,value,RF-000892;RF-000912,NAME_OVERLAP_REVIEW_REQUIRED,"Do not merge by name; compare grain, source semantics, temporal class, units and canonical join path.",false,"2 fields across 1 source(s), 2 dataset/model(s)."
RFRED-1118,RAW_FIELD_NAME_OVERLAP,W09_EXACT_NAME_CLUSTER,venue,RF-000940;RF-001091,NAME_OVERLAP_REVIEW_REQUIRED,"Do not merge by name; compare grain, source semantics, temporal class, units and canonical join path.",false,"2 fields across 1 source(s), 2 dataset/model(s)."
RFRED-1119,RAW_FIELD_NAME_OVERLAP,W09_EXACT_NAME_CLUSTER,venueid,RF-000939;RF-001090,NAME_OVERLAP_REVIEW_REQUIRED,"Do not merge by name; compare grain, source semantics, temporal class, units and canonical join path.",false,"2 fields across 1 source(s), 2 dataset/model(s)."
RFRED-1120,RAW_FIELD_NAME_OVERLAP,W09_EXACT_NAME_CLUSTER,week,RF-000068;RF-000383;RF-000404;RF-000460;RF-000537;RF-000560;RF-000590;RF-000622;RF-000635;RF-000708;RF-000776;RF-000849;RF-000858;RF-000928;RF-000931;RF-001030;RF-001039;RF-001082,NAME_OVERLAP_REVIEW_REQUIRED,"Do not merge by name; compare grain, source semantics, temporal class, units and canonical join path.",false,"18 fields across 2 source(s), 18 dataset/model(s)."
RFRED-1121,RAW_FIELD_NAME_OVERLAP,W09_EXACT_NAME_CLUSTER,weight,RF-000369;RF-000790;RF-000968;RF-001017,NAME_OVERLAP_REVIEW_REQUIRED,"Do not merge by name; compare grain, source semantics, temporal class, units and canonical join path.",false,"4 fields across 2 source(s), 4 dataset/model(s)."
RFRED-1122,RAW_FIELD_NAME_OVERLAP,W09_EXACT_NAME_CLUSTER,wpa,RF-000359;RF-000548;RF-000569;RF-000584,NAME_OVERLAP_REVIEW_REQUIRED,"Do not merge by name; compare grain, source semantics, temporal class, units and canonical join path.",false,"4 fields across 1 source(s), 4 dataset/model(s)."
RFRED-1123,RAW_FIELD_NAME_OVERLAP,W09_EXACT_NAME_CLUSTER,yards_per_pass,RF-000393;RF-000490,NAME_OVERLAP_REVIEW_REQUIRED,"Do not merge by name; compare grain, source semantics, temporal class, units and canonical join path.",false,"2 fields across 1 source(s), 2 dataset/model(s)."
RFRED-1124,RAW_FIELD_NAME_OVERLAP,W09_EXACT_NAME_CLUSTER,yards_per_rush_attempt,RF-000396;RF-000417,NAME_OVERLAP_REVIEW_REQUIRED,"Do not merge by name; compare grain, source semantics, temporal class, units and canonical join path.",false,"2 fields across 1 source(s), 2 dataset/model(s)."
RFRED-1125,RAW_FIELD_NAME_OVERLAP,W09_EXACT_NAME_CLUSTER,yds,RF-000542;RF-000564;RF-000579,NAME_OVERLAP_REVIEW_REQUIRED,"Do not merge by name; compare grain, source semantics, temporal class, units and canonical join path.",false,"3 fields across 1 source(s), 3 dataset/model(s)."
RFRED-1126,RAW_FIELD_NAME_OVERLAP,W09_EXACT_NAME_CLUSTER,year,RF-000970;RF-000979;RF-001010;RF-001024;RF-001060;RF-001064;RF-001074;RF-001110,NAME_OVERLAP_REVIEW_REQUIRED,"Do not merge by name; compare grain, source semantics, temporal class, units and canonical join path.",false,"8 fields across 1 source(s), 8 dataset/model(s)."
