control_id,task_id,mapping_role,evidence_expectation
AC-015,TASK-057,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-055,TASK-057,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-056,TASK-057,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-015,TASK-058,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-019,TASK-058,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-016,TASK-058,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-055,TASK-058,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-056,TASK-058,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-019,TASK-059,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-055,TASK-059,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-056,TASK-059,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-019,TASK-060,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-055,TASK-060,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-056,TASK-060,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-019,TASK-061,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-055,TASK-061,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-056,TASK-061,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-019,TASK-062,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-055,TASK-062,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-056,TASK-062,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-019,TASK-063,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-055,TASK-063,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-056,TASK-063,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-019,TASK-064,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-021,TASK-064,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-055,TASK-064,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-056,TASK-064,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-056,TASK-065,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-055,TASK-065,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-013,TASK-065,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-056,TASK-066,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-055,TASK-066,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-013,TASK-066,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-056,TASK-067,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-055,TASK-067,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-013,TASK-067,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-056,TASK-068,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-055,TASK-068,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-013,TASK-068,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-056,TASK-069,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-055,TASK-069,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-013,TASK-069,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-021,TASK-070,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-019,TASK-070,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-055,TASK-070,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-013,TASK-070,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-056,TASK-070,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-021,TASK-071,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-055,TASK-071,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-056,TASK-071,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-021,TASK-072,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-055,TASK-072,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-056,TASK-072,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-021,TASK-073,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-055,TASK-073,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-056,TASK-073,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-021,TASK-074,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-055,TASK-074,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-056,TASK-074,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-021,TASK-075,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-055,TASK-075,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-056,TASK-075,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-021,TASK-076,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-055,TASK-076,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-056,TASK-076,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-021,TASK-077,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-055,TASK-077,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-056,TASK-077,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-021,TASK-078,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-055,TASK-078,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-056,TASK-078,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-021,TASK-079,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-055,TASK-079,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-056,TASK-079,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-021,TASK-080,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-055,TASK-080,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-056,TASK-080,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-021,TASK-081,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-055,TASK-081,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-056,TASK-081,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-021,TASK-082,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-023,TASK-082,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-055,TASK-082,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-056,TASK-082,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-021,TASK-083,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-055,TASK-083,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-056,TASK-083,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-021,TASK-084,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-055,TASK-084,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-056,TASK-084,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-021,TASK-085,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-055,TASK-085,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-056,TASK-085,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-021,TASK-086,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-055,TASK-086,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-056,TASK-086,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-036,TASK-087,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-021,TASK-087,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-055,TASK-087,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-056,TASK-087,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-030,TASK-088,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-055,TASK-088,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-056,TASK-088,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-030,TASK-089,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-055,TASK-089,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-056,TASK-089,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-030,TASK-090,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-055,TASK-090,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-056,TASK-090,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-030,TASK-091,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-055,TASK-091,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-056,TASK-091,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-030,TASK-092,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-055,TASK-092,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-056,TASK-092,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-047,TASK-093,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-030,TASK-093,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-055,TASK-093,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-056,TASK-093,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-030,TASK-094,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-055,TASK-094,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-056,TASK-094,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-030,TASK-095,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-055,TASK-095,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-056,TASK-095,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-030,TASK-096,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-055,TASK-096,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-056,TASK-096,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-030,TASK-097,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-055,TASK-097,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-056,TASK-097,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-030,TASK-098,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-055,TASK-098,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-056,TASK-098,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-047,TASK-099,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-055,TASK-099,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-056,TASK-099,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-028,TASK-100,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-055,TASK-100,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-056,TASK-100,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-028,TASK-101,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-055,TASK-101,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-056,TASK-101,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-028,TASK-102,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-055,TASK-102,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-056,TASK-102,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-028,TASK-103,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-055,TASK-103,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-056,TASK-103,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-055,TASK-104,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-056,TASK-104,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-029,TASK-105,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-055,TASK-105,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-056,TASK-105,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-029,TASK-106,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-055,TASK-106,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-056,TASK-106,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-029,TASK-107,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-055,TASK-107,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-056,TASK-107,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-029,TASK-108,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-055,TASK-108,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-056,TASK-108,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-029,TASK-109,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-055,TASK-109,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-056,TASK-109,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-029,TASK-110,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-055,TASK-110,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-056,TASK-110,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-028,TASK-111,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-055,TASK-111,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-056,TASK-111,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-028,TASK-112,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-055,TASK-112,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-056,TASK-112,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-028,TASK-113,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-055,TASK-113,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-056,TASK-113,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-028,TASK-114,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-055,TASK-114,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-056,TASK-114,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-028,TASK-115,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-030,TASK-115,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-033,TASK-115,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-055,TASK-115,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-056,TASK-115,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-026,TASK-116,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-055,TASK-116,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-056,TASK-116,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-026,TASK-117,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-055,TASK-117,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-056,TASK-117,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-026,TASK-118,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-055,TASK-118,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-056,TASK-118,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-026,TASK-119,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-055,TASK-119,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-056,TASK-119,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-026,TASK-120,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-055,TASK-120,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-056,TASK-120,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-055,TASK-121,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-056,TASK-121,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-055,TASK-122,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-014,TASK-122,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-056,TASK-122,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-055,TASK-123,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-014,TASK-123,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-056,TASK-123,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-055,TASK-124,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-014,TASK-124,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-056,TASK-124,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-055,TASK-125,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-014,TASK-125,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-056,TASK-125,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-055,TASK-126,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-014,TASK-126,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-056,TASK-126,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-027,TASK-127,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-055,TASK-127,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-014,TASK-127,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-056,TASK-127,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-023,TASK-128,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-055,TASK-128,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-056,TASK-128,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-023,TASK-129,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-055,TASK-129,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-056,TASK-129,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-023,TASK-130,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-055,TASK-130,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-056,TASK-130,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-023,TASK-131,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-055,TASK-131,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-056,TASK-131,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-023,TASK-132,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-055,TASK-132,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-056,TASK-132,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-023,TASK-133,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-031,TASK-133,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-055,TASK-133,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
AC-056,TASK-133,TASK_ANCHOR,Task must satisfy/update this control as applicable in its owner wave; W05 mapping is not future evidence.
