requirement_id,title,category,constraint_class,status,source_basis,planned_wave,description,wave_introduced
REQ-155,Layered immutable data zones,data architecture,A,ACTIVE,Recon canonical data rules; master storage principles,W03+,"Represent raw, quarantine, canonical, PIT state, features, training, model artifacts and forecast snapshots as versioned/immutable zones.",W03
REQ-156,PIT state is mandatory feature gateway,temporal,A,ACTIVE,PIT invariant; recon temporal rules,W03-W10,Feature construction must consume eligible as-of state rather than arbitrary current/provider state.,W03
REQ-157,Training and inference share feature contracts,modeling,A,ACTIVE,Reproducibility/leakage requirements,W03-W20,Training/evaluation and forecast inference must use the same feature-definition and PIT semantics.,W03
REQ-158,Provider details isolated behind source adapters,data architecture,B,ACTIVE,W03 ports/boundary review,W03-W19,Provider-specific retrieval/parsing must not leak into football model logic.,W03
REQ-159,Canonical identity separate from source identity remains architectural boundary,data architecture,A,ACTIVE,Recon canonical identity rules,W03-W08,Stable canonical IDs and source mappings remain distinct from raw/source IDs.,W03
REQ-160,National-to-A&M specialization interface is explicit,modeling,A,ACTIVE,National+A&M protected objective,W03-W16,A&M specialization must communicate with the national foundation through an explicit interface while leaving residual/multi-task/MoE statistical form open to later evidence.,W03
REQ-161,A&M specialization cannot fork canonical truth,data architecture,A,ACTIVE,Recon source precedence; national/A&M invariant,W03+,A&M official evidence may receive field-specific precedence but maps into the same canonical/PIT system.,W03
REQ-162,A&M specialization may collapse to no adjustment,modeling,A,ACTIVE,Anti-overfit/scientific posture,W14-W17,Architecture must permit shrinkage/null A&M-specific effect rather than force an Aggie-specific correction.,W03
REQ-163,Forecast outputs are coherently assembled,modeling,A,ACTIVE,Joint-score invariant,W03-W20,"Win, score, margin and BAS-related outputs must be composed through a coherent forecast-distribution boundary.",W03
REQ-164,BAS consumes leakage-safe expected performance,BAS,A,ACTIVE,BAS invariant,W03-W20,"BAS runtime/labels depend on PIT-safe expected margin/forecast information, never same-game hindsight.",W03
REQ-165,Pure-football and market-augmented lanes remain separable,modeling,A,ACTIVE,Market architecture invariant,W03-W22,A market-augmented forecast cannot overwrite or obscure the corresponding market-free forecast.,W03
REQ-166,Future live lane isolated from pregame,architecture,A,ACTIVE,Live modeling invariant,W03-Phase5,Live/in-game information must not feed the pregame feature row for the same game.,W03
REQ-167,Parquet plus DuckDB preferred early analytical implementation,storage,B,ACTIVE,Local hardware; master storage defaults; W03 comparison,W03-W19,"Use partitioned Parquet and DuckDB as preferred early local analytical stack, subject to later evidence.",W03
REQ-168,PostgreSQL is optional behind a storage boundary,storage,B,ACTIVE,W03 storage comparison,W03-W07/W22,Do not require PostgreSQL until canonical review/concurrency/transactional workloads justify it; preserve an adapter boundary.,W03
REQ-169,No online feature store required for pregame v1,architecture,B,ACTIVE,Simplicity/no-cargo-cult rule,W03-W22,Do not add a network online feature store solely for pregame snapshot serving.,W03
REQ-170,No Kafka Redis Kubernetes or microservices requirement in current architecture,architecture,B,ACTIVE,No-cargo-cult and local-first rules,W03-W23,These technologies remain available only if later operational evidence creates a real requirement.,W03
REQ-171,Serving cannot bypass snapshot publication,serving,A,ACTIVE,Reproducibility/product boundary,W03-W22,Read-serving surfaces must consume published forecast snapshots rather than raw/PIT/model internals directly.,W03
REQ-172,Research outputs enter production only through protected evaluation,research,A,ACTIVE,Research-agent governance,W03-W18,Experiment artifacts/proposals cannot self-promote; protected evaluation/promotion remains the gate.,W03
REQ-173,Architecture registry is machine-readable,architecture,B,DEFAULT,W03 adaptive improvement,W03+,Maintain a machine-readable architecture registry while it remains the best anti-drift mechanism; an evidence-backed ADR may replace the representation without weakening architecture conformance.,W03
REQ-174,Architecture dependency rules are executable tests,testing,A,ACTIVE,W03 adaptive improvement,W03+,"Validate component IDs/import graph, plane isolation, PIT gateway and live/LLM restrictions in repository validation.",W03
REQ-175,Batch stages are resumable and quarantine failures,operations,B,ACTIVE,Recon immutable raw/validation principles,W03-W23,Design batch/forecast-refresh stages to checkpoint immutable artifacts and quarantine bad data rather than silently coerce it.,W03
REQ-176,W03 freezes semantic interfaces not later-wave schemas or statistical families,architecture,A,ACTIVE,Adaptive wave ownership,W03,"Do not preempt W07/W08/W14/W16/W21/W22 ownership by freezing detailed entity schemas, PIT internals, model families, orchestrator or frontend technology.",W03
REQ-177,Acceptance evidence is explicit and traceable,acceptance,A,ACTIVE,master prompt §54; W04 hardening,W04+,"Every active/default/research requirement maps to one or more acceptance controls, evidence modes and owning waves; no material requirement remains acceptance-unmapped.",W04
REQ-178,Requirement lifecycle is separate from acceptance evidence state,governance,A,ACTIVE,W04 classification audit,W04+,Constraint class and lifecycle status do not imply that implementation evidence already exists; acceptance evidence state is tracked independently.,W04
REQ-179,Protected acceptance controls cannot be relaxed by research agents,acceptance,A,ACTIVE,REQ-019/120; W04 hardening,W17+,"Leakage, ground-truth, protected-test and promotion controls remain protected from autonomous experimenter mutation.",W04
REQ-180,Do not fabricate quantitative acceptance thresholds,acceptance,A,ACTIVE,master prompt §60; W04 hardening,W04+,Unknown model/data/performance thresholds are recorded as evidence-pending and assigned to an owning wave rather than filled with arbitrary numbers.,W04
REQ-181,Every active Level-A requirement has a blocking or mandatory acceptance contract,acceptance,A,ACTIVE,W04 acceptance architecture,W04+,Each active Level-A requirement maps to at least one mandatory acceptance control at the gate where the requirement becomes applicable.,W04
REQ-182,Level-B defaults have explicit revisit/change semantics,governance,B,DEFAULT,master prompt §§3-5; W04 audit,W04+,Strong defaults remain accepted current choices but their acceptance mapping records the evidence/review needed to keep or replace them.,W04
REQ-183,Level-C hypotheses remain nonblocking until promoted,experimentation,A,ACTIVE,master prompt §3; W04 audit,W10+,A Level-C hypothesis cannot block core release or be treated as production truth before an approved experiment promotes it.,W04
REQ-184,External inputs cross an explicit trust boundary,security,A,ACTIVE,W04 security hardening,W06+,"Files, archives, APIs, scraped documents and LLM-derived extractions are untrusted inputs until path/schema/type/provenance checks appropriate to the source succeed.",W04
REQ-185,Source records are schema/contract validated before canonical acceptance,security,A,ACTIVE,W04 security/data-governance hardening,W07+,Malformed or contract-violating source records cannot silently enter canonical or training state.,W04
REQ-186,Data/source content cannot trigger arbitrary code execution,security,A,ACTIVE,W04 security hardening,W06+,"Treat source content as data; never execute embedded instructions, macros, scripts or serialized code merely because a source provides them.",W04
REQ-187,Secrets remain externalized with least-privilege access,security,A,ACTIVE,REQ-018; W04 hardening,W21+,"Credentials are provided through approved local/CI secret mechanisms, scoped to minimum required access and never persisted in forecast/data artifacts.",W04
REQ-188,Dependencies and executable tooling retain provenance/integrity evidence,security,A,ACTIVE,W04 supply-chain hardening,W23,Record dependency/tool versions and use integrity/security checks appropriate to the finalized dependency surface.,W04
REQ-189,Logs and diagnostics cannot expose secrets or restricted raw data,security,A,ACTIVE,W04 security/privacy hardening,W21+,Operational logs use structured identifiers/metrics and redact credentials and restricted raw payloads; debugging convenience cannot override source restrictions.,W04
REQ-190,Forecast snapshots are replayable from lineage,reproducibility,A,ACTIVE,REQ-036/091; W04 hardening,W16+,A published forecast links sufficient model/config/feature/data snapshot lineage to reproduce or explain the exact historical forecast without querying mutable current state.,W04
REQ-191,Deterministic transforms are versioned and testable,reproducibility,A,ACTIVE,W04 reproducibility hardening,W08+,"Canonicalization, PIT selection, labels and deterministic feature transforms have versioned definitions and fixture/replay tests.",W04
REQ-192,Training and forecast environments are captured,reproducibility,A,ACTIVE,W04 reproducibility hardening,W20+,Record Python/package/model-runtime/config versions needed to reproduce training/evaluation and forecast execution.,W04
REQ-193,Stochastic processes record seeds/configuration,reproducibility,A,ACTIVE,W04 reproducibility hardening,W16+,"Where stochastic algorithms are used, persist relevant seeds, sampling configuration and library/runtime versions; nondeterminism must be explicit.",W04
REQ-194,Training/evaluation/model artifacts are immutable and linked,reproducibility,A,ACTIVE,W04 reproducibility hardening,W17+,"Training matrix, evaluation result, calibration result and model artifact identities are immutable/versioned and linked through lineage.",W04
REQ-195,Invalid data is quarantined rather than silently coerced,data governance,A,ACTIVE,REQ-115/175; W04 hardening,W07+,Records that fail material data-contract or temporal checks enter a visible quarantine/review path and cannot silently become valid through permissive coercion.,W04
REQ-196,Entity-resolution uncertainty remains visible,data governance,A,ACTIVE,REQ-037/038; W04 hardening,W07+,Ambiguous mappings retain candidate evidence/confidence/review state and cannot be silently auto-accepted without an evidence-backed policy.,W04
REQ-197,Data-quality gates are domain/grain specific,data governance,A,ACTIVE,W04 hardening,W09+,"Completeness, uniqueness, range and reconciliation checks are defined per source/domain/grain; one arbitrary global quality threshold is prohibited.",W04
REQ-198,Source missingness/outage behavior is explicit,data governance,A,ACTIVE,W04 hardening,W06+,"Each production-critical source/domain defines whether absence causes quarantine, degraded-mode uncertainty, fallback use or forecast suppression.",W04
REQ-199,PIT ambiguity fails closed,temporal,A,ACTIVE,REQ-042; W04 hardening,W08+,"When known-at eligibility cannot be proven for a mutable field, classify it unsafe/review-required and exclude it from protected historical features until resolved.",W04
REQ-200,Performance budgets are measured on target hardware before freezing thresholds,performance,A,ACTIVE,REQ-112/113; W04 hardening,W19-W23,Benchmark representative/full workloads on the target local environment before setting hard runtime/RAM/storage acceptance limits.,W04
REQ-201,"Peak RAM, runtime and disk footprint are measured for material workloads",performance,A,ACTIVE,W04 hardening,W19-W23,"Track peak memory, elapsed time and storage footprint for ingestion, PIT/features, training/evaluation and forecast refresh on representative/full data.",W04
REQ-202,Performance optimization cannot weaken correctness,performance,A,ACTIVE,W04 hardening,W19+,"Caching, parallelism, approximations or incremental processing may not bypass PIT, provenance, validation, split or acceptance rules.",W04
REQ-203,Forecast freshness is explicit to users and operators,operations,A,ACTIVE,RISK-039; W04 hardening,W21-W22,Every served forecast exposes snapshot/as-of time and freshness state; stale results are never mislabeled as current.,W04
REQ-204,Acceptance architecture supports multiple evidence modes,acceptance,A,ACTIVE,W04 hardening,W04+,"Acceptance may require static checks, unit/integration tests, chronological replay, scientific evaluation, benchmark evidence or manual/legal review as appropriate.",W04
REQ-205,Critical temporal/leakage controls are release-blocking,acceptance,A,ACTIVE,REQ-042/059/095; W04 hardening,W08+,A failing protected PIT/leakage/split-safety control blocks the affected dataset/model/forecast from promotion or publication.,W04
REQ-206,Promotion criteria are fixed before protected-test inspection,validation,A,ACTIVE,REQ-116/120; W04 hardening,W17+,Model/feature promotion rules and protected evaluation windows are versioned before protected results are inspected for a promotion decision.,W04
REQ-207,Protected test results are not iterative tuning feedback,validation,A,ACTIVE,W04 validation hardening,W17+,Repeated tuning against a protected test period is prohibited; exhausted test periods are documented and replaced prospectively rather than relabeled.,W04
REQ-208,Acceptance failures produce traceable remediation,acceptance,A,ACTIVE,W04 hardening,W04+,Blocking failures identify affected controls/requirements/evidence and create a repair/retest path rather than being waived silently.,W04
REQ-209,Architecture changes update acceptance contracts,architecture,A,ACTIVE,REQ-012/173/174; W04 hardening,W04+,A material ADR that changes system boundaries also updates affected acceptance controls and traceability in the same controlled change.,W04
REQ-210,W04 acceptance contracts do not imply later implementation completion,governance,A,ACTIVE,master prompt §60; W04 scope,W04,Mark future-wave controls as defined/pending rather than PASS when their implementation/data/model evidence does not yet exist.,W04
REQ-211,Future redistribution/publication review,data governance,A,ACTIVE,REQ-054/057; owner private-research policy,W06+,"Private local acquisition and training are authorized. Before raw third-party artifacts are publicly redistributed or commercialized, perform a separate review for that proposed act; never publish raw data by default.",W04_SUPERSEDED_2026-08-09
REQ-212,User-facing forecasts expose lineage and uncertainty metadata,product,A,ACTIVE,REQ-036/122; W04 hardening,W22,"Forecast surfaces expose snapshot time, model/version lineage, market-lane identity, uncertainty/confidence state and material warning/freshness flags.",W04
REQ-213,Labels are versioned with temporal semantics,data governance,A,ACTIVE,W04 hardening,W08+,"Outcome/BAS/derived labels have versioned definitions, source provenance and cutoff semantics; label revisions do not silently rewrite prior experiments.",W04
REQ-214,Monitoring appends observations rather than rewriting history,operations,A,ACTIVE,W04 hardening,W21+,"Monitoring, error analysis and postmortems append new evidence/status while immutable historical forecasts/models/data remain unchanged.",W04
REQ-215,Manual acceptance decisions require named rationale/evidence,acceptance,A,ACTIVE,W04 hardening,W04+,"Where automation cannot decide licensing, ambiguous semantics or architecture exceptions, the manual decision records reviewer role, rationale, evidence and date/version.",W04
REQ-216,Five-phase implementation WBS,implementation,A,ACTIVE,master prompt W05,W05+,Maintain an explicit five-phase implementation plan with epics/tasks/dependencies rather than a prose-only roadmap.,W05
REQ-217,Stable epic and task IDs,implementation,A,ACTIVE,W05 hardening,W05-W25,Epic/task IDs remain stable after acceptance; superseded work is preserved rather than renumbered.,W05
REQ-218,Requirement-to-task exact coverage,traceability,A,ACTIVE,W05 hardening,W05-W25,Every cumulative requirement maps to at least one implementation/governance/research task appropriate to its lifecycle.,W05
REQ-219,Acceptance-control-to-task coverage,traceability,A,ACTIVE,W05 hardening,W05-W25,Every acceptance control maps to one or more tasks that create or maintain its evidence.,W05
REQ-220,Implementation dependency graph is acyclic,implementation,A,ACTIVE,master prompt W05,W05-W25,Task dependencies form a valid DAG; blocked work may not bypass prerequisite gates.,W05
REQ-221,Dependency-critical spine is explicit,implementation,A,ACTIVE,master prompt W05,W05-W25,Identify the dependency-critical program spine without pretending it is a duration-based schedule critical path.,W05
REQ-222,No fabricated schedule precision,governance,A,ACTIVE,master prompt W05,W05-W25,Do not invent hours/dates/velocity estimates without measured evidence or explicit user scheduling input.,W05
REQ-223,Complexity classes describe coordination not hours,implementation,A,ACTIVE,W05 hardening,W05-W25,Use bounded complexity classes based on coupling/uncertainty/protected-contract risk rather than time estimates.,W05
REQ-224,Mandatory W06 backlog replan gate,implementation,A,ACTIVE,master prompt W05/W06,W06,"After fresh data research, explicitly reassess and revise source-dependent W07-W25 backlog before those tasks become ready.",W05
REQ-225,Source-dependent future tasks remain provisional before W06,implementation,A,ACTIVE,master prompt W05/W06,W05-W06,Tasks whose source/schema assumptions may change in W06 are labeled for revalidation rather than treated as frozen.,W05
REQ-226,Codex work packet schema,repository,A,ACTIVE,master prompt W05,W05+,"Codex work is issued as bounded packets with scope, dependencies, artifacts, tests, acceptance IDs and stop conditions.",W05
REQ-227,Shared-contract mutation serialization,repository,A,ACTIVE,master prompt W05,W05+,Unfrozen shared contracts are mutated by one owning workstream at a time; dependent parallel work waits or targets stable interfaces.,W05
REQ-228,Worktree isolation for parallel mutations,repository,A,ACTIVE,master prompt W05,W05+,Parallel Codex implementation uses isolated worktrees/branches and explicit integration order.,W05
REQ-229,Evidence gate before merge/adoption,acceptance,A,ACTIVE,W05 hardening,W05+,A task is not DONE merely because code exists; required tests/evidence/acceptance controls must pass before integration.,W05
REQ-230,Autonomous queue respects protected controls,research,A,ACTIVE,W05 hardening,W18+,Automated work selection cannot rewrite protected evaluation/leakage/promotion criteria to make its own work pass.,W05
REQ-231,Task maturity/status honesty,governance,A,ACTIVE,W05 hardening,W05-W25,"Task states distinguish planned, blocked, ready, in-progress, evidence-pending, done, rejected and superseded work.",W05
REQ-232,Task outputs are explicit,implementation,A,ACTIVE,W05 hardening,W05-W25,Every material task declares expected artifacts/evidence rather than an ambiguous activity-only description.,W05
REQ-233,Task wave ownership is explicit,implementation,A,ACTIVE,W05 hardening,W05-W25,Every task declares its primary owner wave even when its capability phase spans multiple waves.,W05
REQ-234,Capability phases do not override 25-wave execution,program,A,ACTIVE,W05 hardening,W05-W25,Five implementation phases organize capability dependencies but never create extra waves or silently reorder user-governed wave execution.,W05
REQ-235,Dependency edges are machine-readable,implementation,A,ACTIVE,W05 hardening,W05-W25,Task dependency edges are stored in a machine-readable artifact and validated.,W05
REQ-236,Critical path semantics are dependency-based,implementation,A,ACTIVE,W05 hardening,W05-W25,"Critical-path labeling means downstream dependency centrality/gating, not estimated elapsed time.",W05
REQ-237,W05 must not execute later-wave implementation,program,A,COMPLETE_W05,master prompt W05,W05,Wave05 plans implementation but does not perform W06 research or W07+ football implementation.,W05
REQ-238,Backlog plan is versioned and provenance-linked,provenance,A,ACTIVE,W05 hardening,W05-W25,Backlog/phase/epic/task artifacts record plan version and are updated through adaptive change history.,W05
REQ-239,Codex mutation scope is explicit,repository,A,ACTIVE,W05 hardening,W05+,Work packets specify allowed mutation scope and shared-contract exclusions to reduce conflicting autonomous changes.,W05
REQ-240,Priority is adaptive after evidence gates,implementation,B,DEFAULT,W05 hardening,W05-W25,"Within invariant dependencies, implementation priority may be revised when research, evidence or constraints show a higher-value ordering.",W05
REQ-241,Wave06 uses fresh current source research,data governance,A,COMPLETE_W06,master W06,W06,W06 must research the current source universe beyond the reconnaissance pack using current primary/official/provider evidence.,
REQ-242,Wave06 searches beyond CFBD and SportsDataverse,data governance,A,COMPLETE_W06,master W06,W06,"W06 cannot stop at already-known public sources and must investigate governing bodies, conferences, schools, academic/public and optional commercial alternatives.",
REQ-243,Source research queries and evidence are logged,provenance,A,ACTIVE,master W06,W06-W24,"Research date, discovery queries, source reviewed, conclusions and follow-ups are preserved.",
REQ-244,Important data domains retain primary and fallback source decisions,data governance,A,ACTIVE,W06 findings,W06+,Each material domain records primary/fallback/remaining gap rather than assuming one provider is permanent.,
REQ-245,Historical weather forecasts preserve issued model-run provenance,temporal,A,ACTIVE,W06 weather research,W08+,Historical weather features use forecasts actually issued by cutoff with provider/model/run initialization/lead/valid-time provenance.,
REQ-246,Observed weather remains separate from forecast weather,temporal,A,ACTIVE,W06 weather research,W08+,Observed/reanalysis weather may verify/label conditions but cannot replace an earlier issued forecast in a historical forecast row.,
REQ-247,Official conference availability reports are primary when covered,availability,A,ACTIVE,W06 availability research,W08-W12,"When an official availability policy covers a game/report time, versioned official reports outrank aggregator/media inference.",
REQ-248,Availability coverage scope and noncoverage are explicit,availability,A,ACTIVE,W06 availability research,W08-W12,"Conference, season, conference-game/nonconference and report-time scope is recorded; missing outside coverage is UNKNOWN, not healthy/available.",
REQ-249,Lower-division official statistics support bounded strength priors,data,B,DEFAULT,W06 lower-division research,W11+,Use NCAA/NAIA/NJCAA official statistics where practical for opponent/transfer translation without recursively matching FBS resolution.,
REQ-250,Regulatory environment is effective-dated,temporal,A,ACTIVE,W06 NCAA governance research,W08-W13,"Playing, roster, eligibility, transfer and other materially relevant regulatory changes are represented by adoption/publication/effective semantics.",
REQ-251,Market enrichment requires timestamped observations,market,A,ACTIVE,W06 market research,W08-W17,Market-augmented forecasts use provider/book/market observations demonstrably known by cutoff; paid data may be optional but closing/future lines cannot leak.,
REQ-252,Derived sources retain upstream provenance,provenance,A,ACTIVE,W06 redundancy research,W07-W09,Derived repositories/APIs record upstream publisher/source lineage so overlaps are not mistaken for independent evidence.,
REQ-253,Commercial sources remain optional until value is proven,architecture,B,DEFAULT,W06 value challenge,W06-W24,Licensed feeds do not become core Phase1-4 dependencies without evidence-backed ADR covering value/cost/rights/fallback.,
REQ-254,Source access/license/redistribution classification is maintained,data governance,A,ACTIVE,master W06,W06+,Every production source records owner/access/auth/cost/terms/redistribution/attribution/public-repo suitability and is re-reviewed when changed.,
REQ-255,Private-resource proxies are not mislabeled football spending,resources,A,ACTIVE,W06 resource research,W13+,IRS/institutional proxy values remain semantically distinct from football-specific spending and carry uncertainty/missingness.,
REQ-256,Poll/ranking observations are publication-dated,temporal,A,ACTIVE,W06 ranking research,W08+,AP/AFCA/CFP or other rankings enter historical features only after the relevant ranking release was public.,
REQ-257,Source status is refreshed after W06,program,A,ACTIVE,master W24 + W06,W24,"W24 compares APIs, report policies, archives, terms, availability and source quality against this W06 baseline.",
REQ-258,W06 replan gate must clear before W07 source-dependent work,program,A,COMPLETE_W06,W05/W06,W06,W06 explicitly revises/clears future source-dependent backlog after research; W07 may not start before this gate passes.,
REQ-259,A&M uses SEC availability reports as highest-confidence recent official lane,TAMU,A,ACTIVE,W06 availability research,W12-W14,"For covered SEC conference games from the official-report era, A&M availability reconstruction prioritizes official SEC report versions.",
REQ-260,Acquired source evidence is immutable and hash/provenance linked,data governance,A,ACTIVE,W06 acquisition plan,W07+,"Raw source payloads/documents keep retrieval metadata, source URL/ID, hashes and applicable publication/effective timestamps before canonical transformation.",
REQ-261,Canonical IDs are opaque and nonsemantic,data identity,A,ACTIVE,W07 canonical identity design,W07+,"Canonical surrogate IDs must not encode source IDs, team/name/season, or mutable business meaning.",W07
REQ-262,Assigned canonical IDs are never renumbered or reused,data identity,A,ACTIVE,W07 canonical identity design,W07+,"Once materialized/assigned, a canonical ID remains stable; corrections use supersession/redirect/split history rather than ID reuse.",W07
REQ-263,Canonical entity type namespace is explicit,data identity,A,ACTIVE,W07 entity registry,W07+,Every canonical ID belongs to an explicit entity type; cross-type key collisions cannot silently resolve.,W07
REQ-264,Football season identity is distinct from fiscal/academic year,data identity,A,ACTIVE,Recon canonical registry; W07,W07+,Football season uses the football season year; fiscal/academic/resource years remain separate fields/observations.,W07
REQ-265,Source entity keys are source- and type-scoped,entity resolution,A,ACTIVE,W07 source mapping contract,W07+,"Durable source mappings are scoped by source system, entity type and source entity key, with context retained.",W07
REQ-266,Name-only durable entity joins are prohibited,entity resolution,A,ACTIVE,Recon canonical rules; W07,W07+,Names may generate candidates but cannot by themselves establish durable player/coach/source-to-canonical production identity.,W07
REQ-267,Aliases are scoped and history-preserving,entity resolution,A,ACTIVE,W07 source mapping contract,W07-W08,Aliases retain source/context and temporal scope rather than overwriting historical names.,W07
REQ-268,Player identity persists across transfers and role changes,entity resolution,A,ACTIVE,Recon A&M roster identity policy; W07,W07-W12,"Transfers/team/position/class changes create membership/observation episodes, not new player identities.",W07
REQ-269,Coach identity is independent of team and role,entity resolution,A,ACTIVE,Recon canonical registry; W07,W07-W13,Coach role/team/title/play-caller changes are effective-dated role episodes linked to stable coach identity.,W07
REQ-270,Team and institution identities remain distinct,entity resolution,A,ACTIVE,Recon resource join contracts; W07,W07+,Football team/program identity and institution identity use an explicit affiliation/crosswalk instead of string equivalence.,W07
REQ-271,Game identity is separate from schedule mutations,entity resolution,A,ACTIVE,Recon join contracts; master edge cases; W07,W07-W08,"Kickoff/venue/status/home-away-neutral changes are observations; same-contest reschedules may retain identity, replacement matchups create new identity.",W07
REQ-272,Venue identity is separate from mutable venue attributes,entity resolution,A,ACTIVE,Recon canonical registry; W07,W07-W13,"Venue names, coordinates corrections, capacity, surface and roof state are observations/episodes, not identity.",W07
REQ-273,Conference membership is an effective-dated relationship,entity resolution,A,ACTIVE,W07 entity design,W07-W08,Conference membership/classification changes do not create a new team identity and must be represented as episodes.,W07
REQ-274,Official identity uncertainty remains explicit,entity resolution,A,ACTIVE,W06 officiating gap; W07,W07-W13,Name-only or weak officiating evidence remains unresolved/reviewable; uncertain officials are not silently conflated.,W07
REQ-275,Source evidence identity is layered,provenance,A,ACTIVE,W06 mutable-report finding; W07,W07-W08,"Separate source system, resource family, publication version, raw capture and source observation identities.",W07
REQ-276,Retrieval-event identity is preserved even for identical bytes,provenance,A,ACTIVE,W07 evidence identity,W07-W08,Identical raw hashes at different retrieval times may share content but do not erase distinct retrieval/capture evidence.,W07
REQ-277,Entity resolution decisions are append-only and auditable,entity resolution,A,ACTIVE,W07 resolution policy,W07-W19,"Mapping/review decisions retain method, evidence and supersession history rather than being destructively edited.",W07
REQ-278,Fuzzy matching cannot auto-accept without labeled evidence,entity resolution,A,ACTIVE,W07 resolution policy; THR-008,W07-W19,Fuzzy/name-context matching may rank candidates but cannot auto-promote to canonical truth until a labeled benchmark supports a protected threshold/policy.,W07
REQ-279,Entity merge/split corrections preserve historical lineage,entity resolution,A,ACTIVE,W07 correction policy,W07-W19,Duplicate merges use redirects and splits append corrected mappings/new identities while preserving prior versions/decisions.,W07
REQ-280,Unresolved resolution is a valid explicit state,entity resolution,A,ACTIVE,W07 review workflow,W07+,Ambiguous records remain unresolved/review-required and cannot be forced to a top candidate merely to keep a pipeline moving.,W07
REQ-281,Relational persistence remains conditional behind storage ports,storage,B,ACTIVE,W07 storage evaluation,W07-W19/W22,Do not require PostgreSQL for current single-writer append-only identity workflows; preserve storage boundaries and reopen on demonstrated transactional/concurrency need.,W07
REQ-282,Entity auto-accept thresholds require labeled resolver evaluation,validation,A,ACTIVE,W07 THR-008 deferral,W19,"THR-008 or equivalent automatic ambiguous-resolution threshold may only be set from labeled resolution/review evidence, not intuition.",W07
REQ-283,Knowledge and validity time are separate axes,temporal,A,ACTIVE,W08 PIT architecture,W08+,Public knowability and real-world applicability must be represented and evaluated separately.,W08
REQ-284,PIT timestamps are timezone-aware and normalized,temporal,A,ACTIVE,W08 PIT architecture,W08+,Normalized temporal fields use timezone-aware timestamps (UTC convention) while raw source values remain preserved in provenance.,W08
REQ-285,Raw source temporal values are preserved,provenance,A,ACTIVE,W08 PIT architecture,W08+,Normalization may not erase original source timestamp/value text or source version lineage.,W08
REQ-286,first_known_at requires defensible evidence,temporal,A,ACTIVE,Recon temporal policies; W08,W08+,Earliest public knowability must be evidence-backed; season labels/current pages cannot establish it.,W08
REQ-287,Unknown temporal eligibility fails closed,temporal,A,ACTIVE,Master PIT invariant; W08,W08+,Ambiguous/missing temporal evidence is review/quarantine/ineligible rather than guessed into a feature row.,W08
REQ-288,Publication revisions preserve historical replay,temporal,A,ACTIVE,W07 evidence identity; W08,W08+,Later corrections/reports cannot rewrite earlier snapshots; as-of replay selects the version knowable then.,W08
REQ-289,As-of joins require knowledge and target validity,temporal,A,ACTIVE,W08 bitemporal design,W08+,As-of selection requires knowledge cutoff plus target validity/effective applicability where relevant.,W08
REQ-290,Future-effective known facts may support future targets,temporal,A,ACTIVE,W08 bitemporal design,W08+,A fact known before its effective date may be eligible for a forecast of a target event inside its future valid interval.,W08
REQ-291,Retrospective evidence requires dated corroboration,temporal,A,ACTIVE,Recon canonical rules; W08,W08+,Current/retrospective bios/pages are historical-ineligible unless dated evidence proves the fact/version was knowable at cutoff.,W08
REQ-292,Historical game outputs require completion before feature cutoff,temporal,A,ACTIVE,Master leakage rules; W08,W08+,Same/future game outputs are banned; prior-game outputs can enter later-game features only after completion and source knowability.,W08
REQ-293,Forecast and replay cutoffs are immutable versioned records,reproducibility,A,ACTIVE,W08 cutoff contract,W08+,Every feature reconstruction/forecast/replay references an immutable cutoff and temporal-policy version.,W08
REQ-294,Cutoffs preserve target and lane provenance,reproducibility,A,ACTIVE,W08 cutoff contract,W08+,"Cutoff lineage records target game/event time, prediction timestamp, forecast lane, data snapshot and purpose.",W08
REQ-295,As-of selection is deterministic and lineage-returning,temporal,A,ACTIVE,W08 as-of contract,W08+,Equal inputs/policy produce the same selected observation IDs and lineage; selectors do not return bare mutable values.,W08
REQ-296,Market observations remain provider and timestamp scoped,market,A,ACTIVE,Recon market contract; W08,W08-W17,Market lane uses immutable provider/market/side observations known by cutoff.,W08
REQ-297,Market snapshot labels do not override timestamp eligibility,market,A,ACTIVE,W08 market policy,W08-W17,Opening/current/closing classification is descriptive and cannot substitute for actual knowability at the forecast cutoff.,W08
REQ-298,Weather forecasts preserve exact model-run timing,weather,A,ACTIVE,W06 weather research; W08,W08-W13,"Issued weather evidence preserves model initialization, availability/first-known, forecast-valid time, lead and retrieval lineage.",W08
REQ-299,Observed weather cannot replace earlier issued forecast,weather,A,ACTIVE,Recon weather safety; W08,W08-W13,"Historical pregame snapshots use weather forecasts available then, not realized/observed conditions learned later.",W08
REQ-300,Availability reports preserve policy and version scope,availability,A,ACTIVE,W06 availability research; W08,W08-W12,"Availability observations retain report policy, applicable game scope, report sequence/version and temporal provenance.",W08
REQ-301,Availability noncoverage is unknown not healthy,availability,A,ACTIVE,W06 availability research; W08,W08-W12,Missing report/non-covered game may not be inferred as player availability.,W08
REQ-302,Availability revisions do not rewrite earlier snapshots,availability,A,ACTIVE,W08 revision policy,W08-W12,A later availability report version affects only cutoffs at/after its defensible first-known time.,W08
